name,artifact_count,occurrences,artifacts,appears_as,engines,modes,equipment_tags,exercise_ids,possible_same_as,sample_reps,sample_cue
Rodillo: vientre del gemelo,3,3,Movilidad | Aquiles | Rodillas sin dolor,main+variant,activation+strength,uni,Rodillo | Foam roller,calfWall_v1 | rollCalf,,60-90s por lado,"Solo la parte carnosa del gemelo: nunca pases el rodillo por el tendón — es tejido muy inervado y la fricción ahí solo lo empeora. Sentado, el gemelo sobre el rodillo y la otra pierna cruzada encima para cargar. Cuando encuentres el punto que más se queja, párate ahí en vez de ir y venir rápido."
Thread the needle,3,3,Core para el hotel | Core del ciclista | Core del corredor,main+variant,activation+strength,uni,Sin equipo,thread,,8 por lado,"En cuadrupedia, pasa un brazo por debajo del cuerpo hasta apoyar el hombro; después abre el mismo brazo hacia el techo siguiéndolo con la mirada. La cadera se queda quieta y encuadrada: la rotación sale de la columna dorsal, no de la lumbar."
Postura del niño con alcance lateral,2,3,Activación adaptativa | Movilidad,main,activation,uni,Sin equipo,child | childSwim | childReach,Postura del niño,45s,"Sentado sobre los talones, camina las manos hacia un costado hasta sentir el dorsal. El dorsal es lo que te enrolla el hombro hacia adelante — soltarlo antes de nadar te devuelve rango de brazada gratis."
Ángeles en la pared,2,2,Recuperación | Hombro del nadador,main,activation+strength,bi,Pared,wallAngel,,60s,"Espalda contra la pared, lumbar pegada, brazos en W con codos y dorso de las manos tocando. Sube y baja sin despegar nada. Frena exactamente donde algo se despegue: hasta ahí llega tu rango de hoy, y forzar más no lo agranda."
Apoyo en una pierna,2,2,Recuperación | Rodillas sin dolor,main,activation+strength,uni,Sin equipo,balance,,40s,"Parado en una pierna, rodilla apenas flexionada. Que la cadera no se caiga del lado que está en el aire. Busca que el pie trabaje: dedos activos, tobillo corrigiendo. Si te resulta fácil, cierra los ojos. Ten una pared o una silla al alcance."
Balanceo lateral de pierna,2,2,Activación adaptativa | Rodillas sin dolor,main,activation+strength,uni,Pared de apoyo,swingLat,,15 por lado,"De frente a la pared, cruza la pierna de lado a lado por delante del cuerpo. Abre aductores y despierta el glúteo medio."
Elevación lateral acostado,2,2,Aquiles | Rodillas sin dolor,main,strength,,Sin equipo,hipAbd | sideRaise,,15 por lado,"De costado, pierna de arriba recta y la punta del pie apuntando levemente hacia el piso. Sube lento. Tiene que arder en el lateral del glúteo: si lo sientes en la ingle, estás rotando la pierna."
Estiramiento cruzado de hombro,2,2,Movilidad | Hombro del nadador,main,activation+strength,uni,Sin equipo,crossBody,,45s,"Lleva el brazo cruzado por delante del pecho y sostenlo por arriba del codo, nunca desde la muñeca. Antes de tirar, baja el omóplato y no dejes que el hombro viaje adelante: si el omóplato se corre, estiras la espalda y no la parte de atrás del hombro. Tiene que sentirse atrás, nunca un pinchazo adelante."
Extensión torácica en el rodillo,2,2,Recuperación | Hombro del nadador,main+variant,activation+strength,bi,Rodillo,openBook_v1 | thoracicExt,Extensión torácica en cuadrupedia,8 respiraciones,"Rodillo cruzado bajo la espalda alta, manos detrás de la nuca. Extiende hacia atrás soltando el aire y muévelo dos dedos hacia arriba, segmento por segmento. Los glúteos quedan apoyados: nunca debajo de las últimas costillas, ahí se extiende la lumbar."
Isquios con toalla,2,2,Activación adaptativa | Movilidad,variant,activation,uni,Toalla o cinta | Toalla,hamSupine_v1,,45s,"Toalla en la planta del pie, pierna extendida hacia el techo. Tira desde la toalla, no desde el cuello. La otra pierna queda apoyada en el piso."
Pasada de bastón (con tope),2,2,Activación adaptativa | Recuperación,main+variant,activation,bi,Bastón o palo,stickPass | wallAngel_v1,,45s,"Agarre muy ancho, brazos estirados, pasa el bastón de los muslos hacia atrás y vuelve. Esto no es un concurso de flexibilidad: detente donde se te abran las costillas, se te arquee la lumbar o se te suban los hombros. Si tienes que forzar, achica el agarre."
Pelota: pectoral menor,2,2,Movilidad | Hombro del nadador,main+variant,activation+strength,uni,Pelota | Pelota de tenis,pecFloor_v1 | ballPec,,60s por lado,"Coloca la pelota bajo la clavícula, por dentro del frente del hombro. Presión suave y quieta: esta zona no se rodea, se sostiene. No aplastes — aquí hay nervios y tendones, y esto no es un punto para pelear."
Plancha lateral con elevación de pierna,2,2,Core para el hotel | Core del ciclista,main+variant,activation+strength,uni,Anti-flexión lateral,sidePlank,Plancha lateral dinámica,30-40s por lado,"Antebrazo debajo del hombro, cuerpo en línea, cadera arriba. Una vez estable, sube y baja la pierna de arriba controlada. Oblicuos y glúteo medio."
Postura del niño,2,2,Movilidad | Core del ciclista,main,activation+strength,bi,Sin equipo,childPose | child,Postura del niño con alcance lateral,60s,"Sentado sobre los talones, brazos largos adelante, frente al piso. Respira profundo hacia la espalda baja y deja que la cadera baje un poco más con cada exhalación. El objetivo es bajar revoluciones, no estirar más."
Puente con marcha,2,2,Core para el hotel | Recuperación,main+variant,activation,alt+bi,Sin equipo,gluteBridgeMarch,,60s,"Puente arriba y sostenido. Desde ahí despega un pie unos centímetros, apoya, y cambia. La cadera no baja y no rota. Despacio: esto es control, no repeticiones."
Rodillo: cuádriceps,2,2,Movilidad | Rodillas sin dolor,main+variant,activation+strength,uni,Rodillo | Foam roller,quadSide_v1 | rollQuad,,60-90s por lado,"Boca abajo, el muslo sobre el rodillo, del pliegue de la cadera hasta justo arriba de la rótula. Presión media: si tienes que aguantar la respiración, es demasiada. Cuando encuentres un punto sensible, párate ahí y flexiona y estira la rodilla."
Rotación externa isométrica,2,2,Recuperación | Hombro del nadador,main,activation+strength,uni,Pared | Marco de puerta,extRotation | isoER,,45s,"Codo pegado a las costillas a 90°, dorso de la muñeca contra el marco de una puerta o una pared. Empuja hacia afuera al 50% y sostén, sin que nada se mueva. Que el hombro no se vaya adelante y el codo no se separe del cuerpo."
Rotación torácica en cuadrupedia,2,2,Activación adaptativa | Recuperación,main,activation,uni,Sin equipo,threadNeedle,,30s,"En cuatro puntos, una mano detrás de la cabeza. Lleva el codo hacia la rodilla contraria y después abre rotando el torso, siguiendo el codo con la mirada. La cadera se queda cuadrada: si se va contigo, estás rotando desde la lumbar y no desde la espalda alta."
Tobillos para la patada,2,2,Activación adaptativa | Recuperación,main,activation,bi,Sin equipo,ankleSwim | plantarFlex,,40s,"Sentado con las piernas estiradas, apunta las puntas de los pies lo más lejos que puedas y sostén, después tráelas hacia ti. Activa, no pasiva: es el rango que empuja el agua en la patada."
Torsión espinal,2,2,Activación adaptativa | Movilidad,main,activation,uni,Sin equipo,twist,,45s,"Acostado, rodilla cruzada al lado opuesto, brazos abiertos, mirada al lado contrario. El hombro no se despega del piso: si se despega, baja la rodilla. Suelta un poco más en cada exhalación."
Y-T-W boca abajo,2,2,Activación adaptativa | Recuperación,main,activation,bi,Sin equipo,ytw | ytwl,,45s,"Boca abajo, frente apoyada, pulgares al techo. Despega los brazos en Y, después en T, después en W (codos a 90° junto a las costillas). Las escápulas van hacia abajo, nunca hacia las orejas: si te encoges, el trabajo se lo lleva el trapecio superior."
"Bajada excéntrica, pierna recta",1,2,Aquiles,main,strength,,Escalón | Piso plano,eccStraight | eccStraightFlat,,15 por lado,"En el piso, no en el escalón. Sube a puntas con las dos, saca la pierna sana y baja con la lesionada en 4-5 segundos hasta que el talón toque el piso, y ahí paras. Nunca más abajo: con dolor en la inserción, ese rango de más aplasta el tendón contra el hueso."
"Bajada excéntrica, rodilla flexionada",1,2,Aquiles,main,strength,,Escalón | Piso plano,eccBent | eccBentFlat,,15 por lado,"Exactamente lo mismo, pero con la rodilla de trabajo flexionada unos 30 grados todo el movimiento. Eso baja la carga del gemelo al sóleo, que es el músculo que más trabaja corriendo en llano."
Elevación de talón en prensa,1,2,Aquiles,main,strength,,Prensa | Prensa · rango limitado,legPressCalf | legPressCalfNeutral,,8-10,"Piernas casi estiradas, sin bloquear la rodilla hacia atrás, empujando con el metatarso. Mismo tempo lento. Con la rodilla extendida el protagonista pasa a ser el gemelo."
Elevación de talón sentado,1,2,Aquiles,main,strength,,Máquina | Máquina · rango limitado,seatedCalf | seatedCalfNeutral,,6-8,"Pesado, y 3 segundos para subir, 3 para bajar. El tempo no es un detalle estético: la tensión sostenida es lo que remodela el colágeno. Sentado y con rodilla flexionada, el que trabaja es el sóleo — el caballo de batalla del fondista."
Sentadilla isométrica en pared,1,2,Rodillas sin dolor,main,strength,,Pared | Pared · disco opcional,wallSit | wallSitLoaded,,45s,"Espalda contra la pared, rodillas a ~90°, y empuja los talones contra el piso como si quisieras arrastrarlos hacia atrás. Sostén. Es el ejercicio que más rápido baja el dolor de rodilla — si hoy te molesta, empieza por aquí y vas a notar que el resto de la rutina duele menos."
90-90 sostenido,1,1,Core para el hotel,variant,activation,uni,,,,,"Quédate en la posición 90-90 de un lado, pecho alto, inclinándote suave hacia adelante."
Abducción de cadera en polea,1,1,Rodillas sin dolor,main,strength,,Polea baja,cableAbd,,12-15 por lado,"Tobillera en la polea baja, de costado a la máquina, barre la pierna hacia afuera. El tronco se queda quieto — si te inclinas para el otro lado, baja el peso."
Activación de transverso,1,1,Recuperación,main,activation,bi,Sin equipo,tva,,60s,"Boca arriba, rodillas dobladas, manos sobre los huesos de la cadera por dentro. Inhala al abdomen, y al exhalar lleva el ombligo hacia adentro y hacia arriba sin mover la pelvis. Deberías sentir una tensión suave debajo de los dedos. Es sutil, y es la base de todo lo demás."
Aducción en polea o máquina,1,1,Rodillas sin dolor,main,strength,,Polea o máquina,cableAdd,,12-15 por lado,"El par de la abducción, y el que casi nadie hace. Aductores fuertes equilibran la tracción de la banda iliotibial y estabilizan la pelvis desde adentro. Rango completo, sin rebote."
Almeja con minibanda,1,1,Recuperación,variant,activation,uni,Minibanda,clamshell_v1,,,"Banda por encima de las rodillas. Mismo movimiento contra resistencia, y la bajada tan lenta como la subida."
Almeja lenta,1,1,Recuperación,main,activation,uni,Sin equipo,clamshell,,45s,"De costado, rodillas dobladas y talones juntos. Abre la rodilla de arriba sin que la cadera se caiga hacia atrás — pon la mano en el glúteo y siente que trabaja ahí. Lento, y sostén un segundo arriba."
Antebrazos y muñecas,1,1,Movilidad,main,activation,uni,Sin equipo,forearm,,30s,"En cuadrupedia, gira la mano hasta que los dedos apunten a las rodillas y siéntate lento hacia atrás. Después gira la mano y apoya el dorso para el otro lado. Horas agarrado al manillar se pagan aquí."
Apertura de pecho boca abajo,1,1,Movilidad,main,activation,uni,Sin equipo,pecFloor,,45s,"Boca abajo, un brazo extendido en cruz a la altura del hombro, y rueda el cuerpo hacia ese lado apoyando el pie contrario. Busca el pecho, no el frente del hombro — si lo sientes dentro de la articulación, baja el brazo unos centímetros y vuelve a probar."
Aperturas con banda,1,1,Activación adaptativa,main,activation,bi,Banda larga,pullApart,,,"Banda al frente, brazos estirados a la altura de los hombros, separa las manos juntando las escápulas. Resistencia baja y muchas repeticiones — activa el manguito posterior, que es el que protege el hombro en la fase de recobro."
Arco y dedos del pie,1,1,Movilidad,main,activation,uni,Sin equipo,footArch,,45s,"Sentado sobre los talones con los dedos de los pies flexionados hacia adelante — si es mucho, apoya las manos y saca peso. Después abre y cierra los dedos. La fascia plantar se endurece después de correr y nadie la toca hasta que duele."
Arrugar la toalla,1,1,Aquiles,main,strength,,Toalla,towel,,20 por lado,"Sentado y descalzo, toalla en el piso, arrúgala hacia ti solo con los dedos. Un pie fuerte se queda con parte del trabajo del despegue en vez de mandárselo entero al tendón."
Barridos 90-90 de cadera,1,1,Core para el hotel,main,activation,alt,Sentado,,,,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Lleva las rodillas de un lado al otro como un limpiaparabrisas, lento. El pecho se mantiene alto: en cuanto te encorvas, el movimiento sale de la lumbar en vez de la cadera y deja de servir. Ayúdate con las manos atrás si hace falta."
Bicicleta lenta,1,1,Core para el hotel,variant,activation,alt,,,,,"Codo hacia la rodilla contraria mientras la otra pierna se extiende sin tocar el piso. Lento, con rotación real del tronco."
Bird dog codo-rodilla,1,1,Core para el hotel,variant,activation,alt,,,,,"Entre repeticiones, junta codo y rodilla debajo del cuerpo antes de volver a extender."
Bird dog dinámico,1,1,Core del corredor,main,strength,,Sin equipo,birddog,Bird dog,10 por lado,"Extiende brazo y pierna contrarios hasta la línea del tronco y alterna sin pausas largas. Espalda plana, como si tuvieras un vaso de agua en la lumbar. Es el patrón cruzado de la marcha: hombro contra glúteo opuesto, que es el que sostiene la zancada."
Bird dog isométrico,1,1,Core para el hotel,variant,activation,uni,,,,,"Misma posición extendida, sostenida todo el bloque. Menos coordinación, más tensión."
Brazada en seco,1,1,Activación adaptativa,main,activation,bi,Sin equipo,dryStroke,,,"Inclínate un poco adelante y haz el gesto de la brazada despacio, con el codo alto y el brazo largo. Es para llegar al agua con el gesto despierto, no para corregir nada: la técnica se trabaja en el agua."
Búlgara con mancuernas,1,1,Rodillas sin dolor,main,strength,,Mancuernas,bulgarianW,,8-10 por pierna,"El mejor ejercicio que hay para blindar rodillas. Suma peso solo cuando las 10 repeticiones salgan sin que la rodilla se meta — la carga amplifica la técnica que ya tienes, buena o mala."
Cadera 90/90,1,1,Recuperación,main,activation,uni,Sin equipo,nineNinety,,60s,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Inclínate sobre la de adelante, vuelve, y pasa al otro lado levantando las rodillas y girando sin usar las manos. Esa transición activa es el ejercicio; la inclinación es solo la mitad."
Caminata de oruga,1,1,Recuperación,main,activation,bi,Sin equipo,inchworm,,60s,"De pie, pliégate hacia adelante y camina con las manos hasta plancha, sin mover los pies. Vuelve caminando las manos hacia atrás. Las piernas lo más estiradas que aguanten — ahí está el trabajo de isquios."
Caminata de oso,1,1,Recuperación,main,activation,bi,Sin equipo,bearCrawl,,60s,"Cuadrupedia con las rodillas a un palmo del piso. Avanza y retrocede moviendo mano y pie contrarios, con la cadera baja y sin que se balancee de lado a lado. Pasos cortos."
Caminata en puntas con peso,1,1,Aquiles,main,strength,,Mancuernas,farmerToes,,30s,"Mancuernas pesadas, camina lento manteniéndote alto sobre el metatarso todo el recorrido, sin que el talón baje. Entrena rigidez del tobillo bajo carga — que es justo lo que le falta al ciclista que hunde el talón cuando aprieta."
Caminata lateral con minibanda,1,1,Recuperación,variant,activation,bi,Minibanda,latWalk_v1,,,"Banda en los tobillos o por encima de las rodillas. Mismo paso contra resistencia, y sin que el pie de atrás se arrastre."
Caminata lateral en media sentadilla,1,1,Recuperación,main,activation,bi,Sin equipo,latWalk,,60s,"Media sentadilla, pecho alto, y camina de lado dando pasos parejos sin juntar los pies del todo. Las rodillas empujando hacia afuera todo el tiempo y la cadera a la misma altura. Ida y vuelta."
CARs de cadera,1,1,Recuperación,main,activation,uni,Sin equipo,carsHip,,60s,"De pie o en cuadrupedia, lleva la rodilla al pecho, ábrela al costado, rótala hacia atrás y baja — el círculo más grande que puedas hacer sin que se mueva nada más que la cadera. Lentísimo: dos o tres círculos en el minuto. Si el tronco compensa, achica el círculo; el rango que controlas es el rango que tienes."
CARs de columna,1,1,Recuperación,main,activation,bi,Sin equipo,carsSpine,,90s,"Sentado sobre los talones o en una silla. Segmento por segmento: flexión y extensión torácica, después inclinación a cada lado, después rotación. La cadera no se mueve — si se mueve, ya no estás moviendo la columna. Es lento y es aburrido, y es de las cosas que más rango devuelven."
CARs de cuello,1,1,Recuperación,main,activation,bi,Sin equipo,neckCars,,60s,"Sentado, hombros quietos. Mentón al pecho, rueda hacia un hombro, lleva la oreja atrás, y completa el círculo — despacísimo, buscando dónde se traba. Nunca a la fuerza y nunca rápido: si aparece mareo o hormigueo, detente."
CARs de hombro,1,1,Recuperación,main,activation,uni,Sin equipo,carsShoulder,,60s,"Brazo estirado, súbelo por adelante hasta arriba, rótalo y baja por atrás, dibujando el círculo más amplio posible. Costillas abajo y la otra mano en el esternón para sentir si el tronco se mueve. Dos o tres vueltas en el minuto, con tensión en todo el brazo."
CARs de tobillo,1,1,Recuperación,main,activation,uni,Sin equipo,carsAnkle,,45s,"Sentado con la pierna estirada, dibuja el círculo más grande que puedas con la punta del pie, en las dos direcciones. La rodilla y la pierna quedan quietas. Busca el borde del rango y quédate ahí un segundo en cada punto."
Círculos de brazos completos,1,1,Activación adaptativa,main,activation,bi,Sin equipo,armCircles,,,"De pie, abdomen firme para no arquear la lumbar. Círculos amplios hacia atrás pasando el bíceps cerca de la oreja, y después hacia adelante. Lentos y controlados: esto lubrica el hombro en los mismos planos en los que va a trabajar, no es cardio."
Círculos de cadera,1,1,Activación adaptativa,main,activation,uni,Sin equipo,hipCircles,,,"Parado en una pierna, rodilla levantada, dibuja círculos amplios hacia adelante y hacia atrás. El tronco no se mueve — solo la cadera."
Círculos de tobillo + elevación,1,1,Activación adaptativa,main,activation,bi,Sin equipo,ankle,,,"Diez círculos en cada dirección con cada pie, y después elevaciones de talón lentas. El tobillo es la primera articulación que toca el piso — si está dormido, todo lo de arriba compensa."
Círculos de tobillo + elevación con banda,1,1,Activación adaptativa,main,activation,bi,Minibanda,ankleBand,,,"Círculos primero, después elevaciones con la banda en los tobillos para resistir la subida. Bajada lenta y completa."
Cobra sostenida,1,1,Core para el hotel,variant,activation,bi,,,,,"Boca abajo, manos bajo los hombros, pecho arriba y cadera en el piso. Si lo que necesitas es extensión."
Cruce de cadera externa,1,1,Movilidad,main,activation,uni,Sin equipo,itCross,,45s,"Boca arriba, lleva una rodilla cruzada al lado opuesto dejando que la pelvis rote con ella, brazos abiertos. Buscas el tensor y el glúteo, por fuera de la cadera. La cintilla iliotibial no se estira ni se ablanda a golpes: lo que se afloja es lo que tira de ella."
Crunch corto,1,1,Core para el hotel,variant,activation,bi,,,,,"Manos detrás de la cabeza sin tirar del cuello, despega solo los omóplatos. Rango corto, tensión constante."
Cuádriceps de costado,1,1,Movilidad,main,activation,uni,Sin equipo,quadSide,,45s,"De costado, agarra el tobillo de arriba y lleva el talón al glúteo con la pelvis metida y la rodilla apuntando al piso, no abierta hacia afuera. Si la lumbar se arquea, afloja el rango."
Cuádriceps de pie,1,1,Core para el hotel,variant,activation,uni,,,,,"Parado, talón al glúteo, rodillas juntas y pelvis metida. Si el piso no es opción."
Cuello y trapecio,1,1,Movilidad,main,activation,uni,Sin equipo,neckTrap,,30s,"Sentado, la mano del lado que estiras sujeta el borde de la colchoneta, y lleva la oreja al hombro contrario sin encoger el hombro. No tires con la otra mano: el peso de la cabeza alcanza y sobra."
Dead bug con banda,1,1,Activación adaptativa,main,activation,alt,Minibanda,deadbugBand,,,"Banda por encima de las rodillas, presión hacia afuera constante. Extiende brazo y pierna contrarios sin dejar que la banda gane y sin despegar la lumbar."
Dead bug con presión isométrica,1,1,Core del corredor,main,strength,,Anti-extensión,deadbugPress,,10-12 por lado,"Boca arriba, rodillas a 90°, palmas contra los muslos. Empuja las piernas hacia ti y resiste con las manos sin ceder; sin soltar esa tensión, extiende brazo y pierna contrarios hacia el suelo sin tocarlo. La lumbar empuja contra el piso todo el tiempo — es lo primero que se pierde en el último tercio, cuando la pelvis se va a anteversión y la zancada se acorta sola."
Dead bug isométrico,1,1,Core para el hotel,variant,activation,bi,,,,,"Brazos y rodillas a 90°, empuja las manos contra las rodillas y sostén la tensión respirando normal. La regresión correcta si la lumbar no se queda quieta."
Descenso de piernas,1,1,Core para el hotel,variant,activation,alt,,,,,"Sin brazos: piernas a 90°, baja una por vez hasta rozar el piso con el talón, siempre con la lumbar apoyada."
Deslizamiento de antebrazos en pared,1,1,Hombro del nadador,main,strength,,Pared,serratusSlide,,10,"De frente a la pared, antebrazos apoyados. Deslízalos hacia arriba y arriba del todo empuja la pared como si quisieras alejarte de ella, dejando que los omóplatos se abracen a las costillas. Ese último empujón es el serrato, y es el músculo que le hace lugar al tendón cuando levantas el brazo."
Deslizamiento neural,1,1,Activación adaptativa,main,activation,uni,Sin equipo,floss,,30s,"Acostado, rodilla al pecho y extiende la pierna hacia el techo mientras llevas la punta del pie hacia ti; suelta y repite, lento. No es un estiramiento: no busques tensión, buscas que el nervio deslice. Si tira fuerte, achica el rango."
Dominada escapular,1,1,Hombro del nadador,main,strength,,Barra,scapPullUp,,8-12,"Colgado con los brazos estirados. Sin flexionar los codos, baja y junta los omóplatos hasta subir dos o tres centímetros. Sostén 2 segundos y baja. Es exactamente el control que necesitas en el agarre de la brazada, cuando el hombro está más expuesto."
Dragón alado,1,1,Recuperación,main,activation,uni,Sin equipo,dragon,,90s,"Estocada muy larga, manos por dentro del pie de adelante, rodilla de atrás en el piso. Deja que la rodilla de adelante caiga hacia afuera y baja el peso sobre los antebrazos si llegas. Es intensa: quédate en un 6 o 7 sobre 10, nunca más. Respira largo y no la fuerces con rebotes."
Elevación de punta (tibial anterior),1,1,Aquiles,main,strength,,Pared de apoyo,tibRaise,,20,"De espaldas a la pared, talones un paso adelante, sube las puntas hacia las espinillas lo más alto que puedas y baja lento. Es el antagonista del gemelo: te da control de la caída del pie al aterrizar, en vez de solo frenarla."
Elevación de talones,1,1,Activación adaptativa,main,activation,bi,Sin equipo,calf,,,Sube lento hasta la punta del pie y baja más lento todavía. La bajada es el ejercicio.
Elevación de talones excéntrica,1,1,Recuperación,main,activation,bi,Sin equipo,calfEcc,,60s,"Sube con las dos piernas y baja con una sola, contando tres segundos. La bajada es el ejercicio. Alterna la pierna que baja."
Elevación lateral con banda,1,1,Activación adaptativa,main,activation,uni,Minibanda,latRaiseBand,,,"Banda en los tobillos. Mismo movimiento contra resistencia. El tronco se queda vertical — el glúteo medio trabaja, no la lumbar."
Elevación lateral de pierna,1,1,Activación adaptativa,main,activation,uni,Sin equipo,latRaise,,,"De pie o de costado, sube la pierna al lateral con el pie apuntando levemente hacia abajo. Rango medio, sin impulso — si el tronco se inclina, bajaste el rango."
Empeine y tibial con rodillo,1,1,Movilidad,variant,activation,bi,Rodillo,ankleKick_v1,,,"En cuadrupedia, el rodillo sobre la parte de adelante de la tibia, y rueda despacio de la rodilla al tobillo. Zona sensible: menos presión de la que crees."
Enrollado vertebral boca arriba,1,1,Recuperación,main,activation,bi,Sin equipo,rollDown,,90s,"Acostado, rodillas dobladas. Despega la pelvis y sube vértebra por vértebra hasta apoyar en los omóplatos, y baja igual de lento, apoyando de arriba hacia abajo. Lo que buscas es que la columna se articule por segmentos, no que suba alto. Cinco o seis ciclos lentos."
Escaneo corporal,1,1,Recuperación,main,activation,bi,Sin equipo,bodyScan,,180s,"Boca arriba, piernas largas, palmas arriba. Recorre el cuerpo de los pies a la cabeza, parando en cada zona el tiempo de una respiración y soltando lo que encuentres apretado. Mandíbula y trapecios al final: casi siempre queda algo ahí."
Escorpión boca abajo,1,1,Recuperación,main,activation,uni,Sin equipo,scorpion,,45s,"Boca abajo, brazos en cruz. Lleva un talón cruzado hacia la mano contraria dejando que la cadera rote, y el pecho lo más pegado al piso que puedas. Lento a la ida y lento a la vuelta."
Esfinge suave,1,1,Movilidad,main,activation,bi,Sin equipo,sphinx,,60s,"Boca abajo, codos debajo de los hombros, pelvis pesada en el piso. Es una extensión suave y sostenida, no una cobra. Si te aprieta la lumbar, lleva los codos más adelante hasta que deje de apretar."
"Estiramiento en pared, pierna recta",1,1,Aquiles,main,strength,,Pared,wallStraight,,2 min por lado,"Manos en la pared, pierna de atrás recta y el talón clavado en el piso. Estira el gemelo. Solo después de entrenar, con el tejido caliente — estirar un aquiles frío e irritado es la forma más rápida de encender el cuadro."
