exercise_name,present_in,copies,cue_1,cue_2,cue_3,cue_4,cue_5,cue_6,harmonized_cue,note_1,note_2,note_3,note_4,note_5,note_6,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
Puente de glúteos a una pierna,aquiles;rodillas;core-ciclista,3,"Empuja con el talón y aprieta el glúteo arriba. Si lo sientes en la lumbar, mete la pelvis y baja la altura. Cadena posterior fuerte, menos trabajo de frenado para abajo.","Empuja con el talón. Si lo sientes en la lumbar, la cadera se te fue en anteversión — mete la pelvis y baja la altura.","Un talón apoyado cerca de los glúteos, la otra rodilla abrazada al pecho. Empuja con el talón. Si lo sientes en la lumbar, mete la pelvis y baja la altura: la idea es aislar el glúteo, no que el psoas dominante haga otra vez todo el trabajo.",,,,,,,,,,,3×10 por lado,3×10 por pierna,1×12-15 por pierna,,,
Rodillo: vientre del gemelo,movilidad;aquiles;rodillas,3,"Solo la parte carnosa: nunca pases el rodillo por el tendón — es tejido muy inervado y la fricción ahí solo lo empeora. Sentado, el gemelo sobre el rodillo y la otra pierna cruzada encima para cargar. Párate 20 segundos en el punto que más se queja en vez de ir y venir rápido.","Solo la parte carnosa de arriba y los costados de la pierna. Nunca pases el rodillo por el tendón — es tejido muy inervado y ya irritado; la fricción ahí solo lo empeora. De la rodilla para abajo hasta donde el músculo se vuelve tendón, y ahí paras.","Solo la parte carnosa: nunca pases el rodillo por el tendón — es tejido muy inervado y la fricción ahí solo lo empeora. Gemelos duros restan movilidad de tobillo, y lo que el tobillo no absorbe lo absorbe la rodilla.",,,,,,,,,,,,1×60-90s por lado,1×60-90s por lado,,,
Thread the needle,core;core-ciclista;core-corredor,3,"Desde cuadrupedia, pasa un brazo por debajo del cuerpo hasta apoyar el hombro, y vuelve abriendo hacia el techo.","En cuadrupedia, pasa un brazo por debajo del cuerpo y rota apoyando el hombro; después abre el mismo brazo hacia el techo siguiéndolo con la mirada. La cadera se queda quieta y encuadrada — la rotación sale de la columna dorsal, que es exactamente lo que se te traba después de horas en el manillar.","En cuadrupedia, pasa un brazo por debajo del cuerpo apoyando el hombro; después abre ese mismo brazo hacia el techo siguiendo la mano con la mirada. La cadera se queda encuadrada — la rotación sale de la dorsal. Todo el circuito de hoy entrena a no rotar; para eso el tórax tiene que poder rotar, o la lumbar rota en su lugar.",,,,,,,,,,,,1×8 por lado,1×8 por lado,,,
Ángeles en la pared,recuperacion;hombro,2,"Espalda contra la pared, lumbar pegada, brazos en W con los codos y el dorso de las manos tocando. Sube y baja los brazos sin despegar nada. Frena exactamente donde algo se despegue — hasta ahí llega tu rango de hoy, y forzar más no lo agranda.","Espalda contra la pared, codos y muñecas tocando la pared como un arco de fútbol. Sube despacio hasta la ""Y"". Si la lumbar se despega o las muñecas se van de la pared, ahí terminó tu rango — no lo fuerces, la ganancia está en el rango que sí controlas.",,,,,,,,,,,,60s,2×12,,,,
Apoyo en una pierna,recuperacion;rodillas,2,"Parado en una pierna, cierra los ojos. Con una pared o una silla al alcance de la mano — se pierde el equilibrio, esa es la idea. Busca que el pie trabaje: dedos activos, tobillo corrigiendo. Cuarenta segundos por lado alcanzan y sobran.","Parado en una pierna, rodilla apenas flexionada, mirando un punto fijo. Que la cadera no se caiga del lado que está en el aire — ese descenso es exactamente lo que le pasa a tu pelvis en cada zancada. Si te resulta fácil, cierra los ojos.",,,,,,,,,,,,40s,1×30s por lado,,,,
Balanceo lateral de pierna,activacion;rodillas,2,"De frente a la pared, cruza la pierna de lado a lado por delante del cuerpo. Abre aductores y glúteo medio.","De frente a la pared, cruza la pierna de lado a lado por delante del cuerpo. Abre aductores y despierta la cadera externa.",,,,,,,,,,,,,1×15 por lado,,,,
Elevación lateral acostado,aquiles;rodillas,2,"De costado, pierna de arriba recta y la punta apuntando levemente al piso. Tiene que arder en el lateral del glúteo. Lo que la cadera no estabiliza arriba, el tobillo lo compensa abajo.","De costado, pierna de arriba recta y la punta del pie apuntando levemente hacia el piso. Sube lento. Tiene que arder en el lateral del glúteo — si lo sientes en la ingle, estás rotando la pierna.",,,,,,,,,,,,3×15 por lado,1×20 por lado,,,,
Estiramiento cruzado de hombro,movilidad;hombro,2,"Lleva el brazo cruzado por delante del pecho y empuja desde el codo, nunca desde la muñeca. La clave: baja el omóplato y no dejes que el hombro se vaya adelante. Si se va adelante, estás moviendo la escápula en vez de soltar la parte de atrás del hombro.","Lleva el brazo cruzado sobre el pecho y sostenlo con el otro por arriba del codo. Antes de tirar, baja el omóplato y no lo dejes viajar hacia adelante — si el omóplato se corre, estiras la espalda y no la parte de atrás del hombro, que es la que se acorta nadando. Tiene que sentirse atrás del hombro, nunca un pinchazo adelante.",,,,,,,,,,,,45s,1×90s por lado,,,,
Extensión torácica en el rodillo,recuperacion;hombro,2,"Rodillo cruzado bajo la espalda alta, manos detrás de la cabeza. Extiende hacia atrás sobre él y muévelo dos dedos hacia arriba y repite, segmento por segmento. La lumbar no se arquea: los glúteos quedan apoyados.","Rodillo cruzado bajo la espalda alta, manos detrás de la nuca, y deja caer la cabeza hacia atrás soltando el aire. Muévelo dos dedos hacia arriba y repite. Nunca abajo de las últimas costillas: ahí se extiende la lumbar, que no es la que está rígida.",,,,,,,,,,,,,1×8 respiraciones,,,,
Isquios con toalla,activacion;movilidad,2,"Toalla en la planta del pie, pierna extendida hacia el techo. Tira desde la toalla, no desde el cuello. La otra pierna queda apoyada en el piso.","Toalla en la planta del pie, pierna extendida hacia el techo. Tira desde la toalla, no desde el cuello.",,,,,,,,,,,,45s,,,,,
Pasada de bastón (con tope),activacion;recuperacion,2,"Agarre muy ancho, brazos estirados, pasa el bastón de los muslos a la espalda baja y vuelve. Esto no es un concurso de flexibilidad: detente donde se te abran las costillas, se te arquee la lumbar o se te suban los hombros. El frente del hombro de un nadador suele estar de sobra suelto; lo que buscas aquí es la espalda alta, no ganar rango adelante. Si tienes que forzar, achica el agarre.","Agarre muy ancho, brazos estirados, pasa el bastón de los muslos hacia atrás y vuelve. Esto no es un concurso de flexibilidad: detente donde se te abran las costillas, se te arquee la lumbar o se te suban los hombros. Si tienes que forzar, achica el agarre.",,,,,,,,,,,,45s,,,,,
Pelota: pectoral menor,movilidad;hombro,2,"Boca abajo, la pelota debajo de la clavícula, por dentro del hombro. Presión suave y quieta. Esta zona no se rodea, se sostiene.","La pelota arriba del pecho, cerca del frente del hombro, y apóyate contra una pared. Presión moderada, no aplastes: aquí abajo hay nervios y tendones, y esto no es un punto para pelear.",,,,,,,,,,,,,1×60s por lado,,,,
Plancha lateral con elevación de pierna,core;core-ciclista,2,"En plancha lateral, sube y baja la pierna de arriba controlado. Suma glúteo medio.","Antebrazo debajo del hombro, cuerpo en línea, cadera arriba. Una vez estable, sube y baja la pierna de arriba controlada. Oblicuos y glúteo medio — los que evitan que la rodilla se meta hacia adentro en la fase de empuje.",,,,,,,,,,,,,1×30-40s por lado,,,,
Postura del niño,movilidad;core-ciclista,2,"Sentado sobre los talones, brazos largos adelante, frente al piso. Respira hacia la espalda baja y deja que la cadera baje un poco más con cada exhalación. Aquí el objetivo es bajar pulsaciones, no estirar más.","Sentado sobre los talones, brazos largos adelante. Respira profundo y largo para soltar lumbar y dorsales. No es relleno: es donde el sistema baja de revoluciones después de 20 minutos de tensión.",,,,,,,,,,,,60s,1×1-2 min,,,,
Postura del niño con alcance lateral,activacion;movilidad,2,"Sentado sobre los talones, camina las manos hacia un costado hasta sentir el dorsal. La cadera se queda atrás, no la sigas con el tronco.","Desde la postura del niño, camina las manos hacia un costado hasta sentir el dorsal por el lateral del tronco. La cadera se queda atrás, no la sigas con el tronco.",,,,,,,,,,,,45s,45s,,,,
Puente a una pierna,core;recuperacion,2,"Una pierna extendida en el aire, la otra empuja. La pelvis no debe caer hacia ningún lado.","Un pie apoyado, la otra rodilla al pecho. Sube la cadera empujando con el talón y mantén la pelvis pareja — sin que un lado se caiga. Si se cae, baja el rango o hazlo con las dos piernas.",,,,,,,,,,,,,45s,,,,
Puente con marcha,core;recuperacion,2,Cadera arriba y fija; despega un pie por vez sin que la pelvis se mueva.,"Puente arriba y sostenido, y desde ahí despega un pie unos centímetros, apoya, y cambia. La cadera no baja y no rota. Despacio: esto es control, no repeticiones.",,,,,,,,,,,,,60s,,,,
Rodillo: cuádriceps,movilidad;rodillas,2,"Boca abajo, el muslo sobre el rodillo, del pliegue de la cadera hasta arriba de la rodilla. Presión media: si tienes que aguantar la respiración, es demasiada.","De la cadera hasta justo arriba de la rótula. Cuando encuentres un punto sensible, párate ahí y flexiona y estira la rodilla — eso despega el tejido mucho más que seguir rodando.",,,,,,,,,,,,,1×60-90s por lado,,,,
Rotación externa isométrica,recuperacion;hombro,2,"Codo pegado al cuerpo a 90°, dorso de la mano contra el marco de una puerta o una pared. Empuja hacia afuera al 50% y sostén, sin que nada se mueva. Que el hombro no se vaya adelante y el codo no se separe de las costillas.","Parado de costado al marco, codo pegado a las costillas y flexionado a 90°, el dorso de la muñeca contra el marco. Empuja hacia afuera al 50% y sostén. Nada se mueve. Arranca siempre por aquí: si hoy te molesta, esto baja el dolor y te deja hacer el resto con buena técnica en vez de esquivándolo.",,,,,,,,,,,,45s,3×30s por lado,,,,
Rotación torácica en cuadrupedia,activacion;recuperacion,2,"En cuatro puntos, una mano detrás de la cabeza. Lleva el codo hacia la rodilla contraria y después abre rotando el torso, siguiendo el codo con la mirada. La cadera se queda cuadrada — si se va contigo, estás rotando desde la lumbar y no desde la espalda alta, que es la que te falta para respirar.","En cuatro puntos, una mano detrás de la cabeza. Lleva el codo hacia la rodilla contraria y después abre rotando el torso, siguiendo el codo con la mirada. La cadera se queda cuadrada — si se va contigo, estás rotando desde la lumbar.",,,,,,,,,,,,30s,60s,,,,
Tobillos para la patada,activacion;recuperacion,2,"Sentado con las piernas estiradas, apunta las puntas de los pies lo más lejos que puedas y sostén, después círculos amplios. Si vienes de correr, este es tu punto débil en el agua: un tobillo rígido no empuja, frena.","Sentado con las piernas estiradas, apunta las puntas de los pies lo más lejos que puedas y sostén cinco segundos, después tráelas hacia ti. Activa, no pasiva: es el rango que empuja el agua en la patada.",,,,,,,,,,,,40s,45s,,,,
Torsión espinal,activacion;movilidad,2,"Acostado, lleva una rodilla cruzada al otro lado con los brazos abiertos y la mirada al lado opuesto. El hombro no se despega del piso — suelta con cada exhalación.","Rodilla cruzada al lado opuesto, brazos abiertos, mirada al lado contrario. El hombro no se despega del piso — si se despega, baja la rodilla. Suelta un poco más en cada exhalación.",,,,,,,,,,,,45s,45s,,,,
Y-T-W boca abajo,activacion;recuperacion,2,"Boca abajo, frente apoyada, pulgares al techo. Despega los brazos en Y, después en T (en cruz), después en W (codos a 90° junto a las costillas juntando las escápulas). Las escápulas van hacia abajo, nunca hacia las orejas: si te encoges, el trabajo se lo lleva el trapecio superior.","Boca abajo, frente apoyada, pulgares al techo. Despega los brazos en Y, después en T, después en W. Las escápulas van hacia abajo, nunca hacia las orejas: si te encoges, el trabajo se lo lleva el trapecio superior.",,,,,,,,,,,,45s,60s,,,,
