artifact_slug,artifact,engine,exercise_id,type,parent_exercise,phase,name,mode,tag,sets,reps,rest_s,hold_s,routine_refs,variant_count,video,cue
activacion,Activación adaptativa,activation,squat2stand,main,,,Sentadilla a de pie,bi,Sin equipo,,,,,2,0,,"Agárrate las puntas de los pies, hunde la cadera y sube el pecho sin soltar. Después estira las piernas para abrir los isquios. Un ciclo por repetición, lento."
activacion,Activación adaptativa,activation,squat2standBand,main,,,Sentadilla a de pie con banda,bi,Minibanda,,,,,2,0,,"Banda por encima de las rodillas. Agárrate las puntas de los pies, hunde la cadera y sube el pecho sin soltar. Después estira las piernas. Rodillas empujando hacia afuera todo el tiempo."
activacion,Activación adaptativa,activation,aSkip,main,,,Skip A lento,alt,Sin equipo,,,,,4,0,,"Rodilla a la altura de la cadera, pie de apoyo firme, brazos de carrera. Postura alta y contacto corto. Es técnica, no cardio: si te desarmas, achica el ritmo."
activacion,Activación adaptativa,activation,march,main,,,Marcha con rodilla alta,alt,Sin equipo,,,,,3,0,,"Marcha en el lugar, rodilla arriba, pie de apoyo activo, tronco erguido. No te balancees hacia atrás para levantar más: esa es la trampa."
activacion,Activación adaptativa,activation,marchBand,main,,,Marcha con rodilla alta y banda,alt,Minibanda,,,,,1,0,,"Banda en los tobillos. Marcha con rodilla alta, tronco erguido. Despacio en la bajada: la banda quiere devolverte el pie al piso y ahí es donde se pierde el control."
activacion,Activación adaptativa,activation,ankle,main,,,Círculos de tobillo + elevación,bi,Sin equipo,,,,,1,0,,"Diez círculos en cada dirección con cada pie, después elevaciones de talón lentas. El tobillo es la primera articulación que toca el piso: si está dormido, todo lo de arriba compensa."
activacion,Activación adaptativa,activation,ankleBand,main,,,Círculos de tobillo + elevación con banda,bi,Minibanda,,,,,1,0,,"Círculos de tobillo primero, en las dos direcciones. Después, banda en los tobillos: sube a puntas contra la banda y baja lento y completo."
activacion,Activación adaptativa,activation,armCircles,main,,,Círculos de brazos completos,bi,Sin equipo,,,,,6,0,,"De pie, abdomen firme para no arquear la lumbar. Círculos amplios hacia atrás pasando el bíceps cerca de la oreja, después hacia adelante. Lentos: esto lubrica el hombro, no es cardio."
activacion,Activación adaptativa,activation,swimSquat,main,,,Sentadilla con alcance al techo,bi,Sin equipo,,,,,3,0,,"Baja a sentadilla y al subir estira los brazos al techo, terminando en puntas. Conecta la extensión del tobillo con la apertura del hombro."
activacion,Activación adaptativa,activation,neckRot,main,,,Rotación de cuello para respirar,uni,Sin equipo,,,,30,3,0,,"Gira la cabeza como si respiraras al costado, despacio, y sostén mirando atrás. Mentón bajo, cerca del hombro. Un cuello rígido levanta la cabeza en vez de rotar."
activacion,Activación adaptativa,activation,threadNeedle,main,,,Rotación torácica en cuadrupedia,uni,Sin equipo,,,,30,6,0,,"En cuatro puntos, una mano detrás de la cabeza. Lleva el codo hacia la rodilla contraria y después abre rotando el torso, siguiendo el codo con la mirada. La cadera se queda cuadrada: si se va contigo, estás rotando desde la lumbar y no desde la espalda alta."
activacion,Activación adaptativa,activation,ytw,main,,,Y-T-W boca abajo,bi,Sin equipo,,,,45,6,0,,"Boca abajo, frente apoyada, pulgares al techo. Despega los brazos en Y, después en T, después en W (codos a 90° junto a las costillas). Las escápulas van hacia abajo, nunca hacia las orejas: si te encoges, el trabajo se lo lleva el trapecio superior."
activacion,Activación adaptativa,activation,swimStreamline,main,,,Plancha en tensión de streamline,bi,Sin equipo,,,,40,6,0,,"Plancha alta. Mete la pelvis, aprieta el abdomen y alinéate como una flecha, cabeza neutra mirando al piso. Una vez, bien hecha."
activacion,Activación adaptativa,activation,ankleSwim,main,,,Tobillos para la patada,bi,Sin equipo,,,,40,6,0,,"Sentado con las piernas estiradas, apunta las puntas de los pies lo más lejos que puedas y sostén, después tráelas hacia ti. Activa, no pasiva: es el rango que empuja el agua en la patada."
activacion,Activación adaptativa,activation,childSwim,main,,,Postura del niño con alcance lateral,uni,Sin equipo,,,,30,3,0,,"Sentado sobre los talones, camina las manos hacia un costado hasta sentir el dorsal. El dorsal es lo que te enrolla el hombro hacia adelante — soltarlo antes de nadar te devuelve rango de brazada gratis."
activacion,Activación adaptativa,activation,pullApart,main,,,Aperturas con banda,bi,Banda larga,,,,,4,0,,"Banda al frente, brazos estirados a la altura de los hombros. Separa las manos juntando las escápulas. Resistencia baja y muchas repeticiones."
activacion,Activación adaptativa,activation,catchSim,main,,,Simulación de agarre con banda,bi,Banda larga,,,,,4,0,,"Banda anclada a media altura o pisada. Inclínate un poco adelante y empuja hacia los muslos con el brazo largo y el codo alto. Buscas recordar la presión, no corregir la técnica."
activacion,Activación adaptativa,activation,bandOverhead,main,,,Pasada de banda por encima,bi,Banda larga,,,,,2,0,,"Agarre bien ancho, brazos estirados. Pasa la banda de adelante hacia atrás por encima de la cabeza. Frena apenas se te abran las costillas o se te suban los hombros."
activacion,Activación adaptativa,activation,stickPass,main,,,Pasada de bastón (con tope),bi,Bastón o palo,,,,45,2,0,,"Agarre muy ancho, brazos estirados, pasa el bastón de los muslos hacia atrás y vuelve. Esto no es un concurso de flexibilidad: detente donde se te abran las costillas, se te arquee la lumbar o se te suban los hombros. Si tienes que forzar, achica el agarre."
activacion,Activación adaptativa,activation,dryStroke,main,,,Brazada en seco,bi,Sin equipo,,,,,2,0,,"Inclínate un poco adelante y haz el gesto de la brazada despacio, codo alto y brazo largo. Es para llegar al agua con el gesto despierto, no para corregir técnica."
core,Core para el hotel,activation,,main,,Activación,Dead bug,alt,Boca arriba,,,,,,2,,"Boca arriba, brazos al techo y rodillas a 90°. Extiende brazo y pierna contrarios, lentos, sin que la lumbar se despegue del piso. Exhala al extender: es la exhalación la que aplana la espalda, no la fuerza abdominal. Si la lumbar se levanta, baja menos la pierna. El objetivo es control, no velocidad."
core,Core para el hotel,activation,,variant,Dead bug,Activación,Dead bug isométrico,bi,,,,,,,0,,"Boca arriba, brazos y rodillas a 90°. Empuja las manos contra las rodillas y sostén la tensión respirando normal. La lumbar no se despega."
core,Core para el hotel,activation,,variant,Dead bug,Activación,Descenso de piernas,alt,,,,,,,0,,"Boca arriba, piernas a 90°, brazos quietos. Baja una pierna por vez hasta rozar el piso con el talón y vuelve. La lumbar no se despega: si se levanta, no bajes tanto."
core,Core para el hotel,activation,,main,,Activación,Toques de talón (pingüinos),alt,Boca arriba,,,,,,2,,"Rodillas flexionadas, pies apoyados, omóplatos apenas despegados y ahí se quedan. Inclínate a un lado hasta tocar el talón, después al otro. Rango corto y rápido. Si la cabeza se apoya entre reps, el estímulo se corta."
core,Core para el hotel,activation,,variant,Toques de talón (pingüinos),Activación,Crunch corto,bi,,,,,,,0,,"Boca arriba, manos detrás de la cabeza sin tirar del cuello. Despega solo los omóplatos y quédate en ese rango corto, con tensión constante. No subas hasta sentarte."
core,Core para el hotel,activation,,variant,Toques de talón (pingüinos),Activación,Bicicleta lenta,alt,,,,,,,0,,"Boca arriba, omóplatos despegados. Codo hacia la rodilla contraria mientras la otra pierna se extiende sin tocar el piso. Lento, con rotación real del tronco, no un vaivén de codo."
core,Core para el hotel,activation,,main,,Activación,Puente de glúteos,bi,Boca arriba,,,,,,2,,"Pies cerca de los glúteos. Sube la cadera empujando con los talones y sostén dos segundos arriba apretando los glúteos. La pausa es el ejercicio; sin ella son solo repeticiones. Baja controlado, sin arquear la lumbar. Si lo sientes en los isquios, acerca los pies."
core,Core para el hotel,activation,,variant,Puente de glúteos,Activación,Puente de glúteos a una pierna,uni,,,,,,,0,,"Un talón apoyado cerca de los glúteos, la otra rodilla abrazada al pecho. Empuja con el talón y aprieta el glúteo arriba. Si lo sientes en la lumbar, mete la pelvis y baja la altura: la idea es aislar el glúteo, no que el psoas haga el trabajo."
core,Core para el hotel,activation,,variant,Puente de glúteos,Activación,Puente con marcha,alt,,,,,,,0,,"Puente arriba y sostenido. Desde ahí despega un pie unos centímetros, apoya, y cambia. La cadera no baja y no rota. Despacio: esto es control, no repeticiones."
core,Core para el hotel,activation,,main,,Activación,Gato-camello,bi,Cuadrupedia,,,,,,2,,"En cuadrupedia, alterna redondear y arquear la columna al ritmo de la respiración. Muévete desde la pelvis y deja que la columna la siga vértebra por vértebra — no en bloque, y no solo cuello y hombros. Esto es control pélvico y articular, no un estiramiento. Rango cómodo, no máximo."
core,Core para el hotel,activation,,variant,Gato-camello,Activación,Gato-camello sentado,bi,,,,,,,0,,"Sentado al borde de una silla o de la cama, manos en las rodillas. Exhala redondeando la espalda, inhala arqueándola. Muévete desde la pelvis, vértebra por vértebra."
core,Core para el hotel,activation,,variant,Gato-camello,Activación,Thread the needle,uni,,,,,,,0,,"En cuadrupedia, pasa un brazo por debajo del cuerpo hasta apoyar el hombro; después abre el mismo brazo hacia el techo siguiéndolo con la mirada. La cadera se queda quieta y encuadrada: la rotación sale de la columna dorsal, no de la lumbar."
core,Core para el hotel,activation,,main,,Activación,Bird dog,alt,Cuadrupedia,,,,,,2,,"En cuadrupedia, extiende brazo y pierna contrarios hasta la línea del tronco y sostén dos o tres segundos. La cadera queda cuadrada al piso y la lumbar quieta: si se abre hacia un costado o la espalda se arquea, baja la pierna. Imagina un vaso de agua sobre la lumbar que no se puede volcar. Aprieta el glúteo al estirar la pierna."
core,Core para el hotel,activation,,variant,Bird dog,Activación,Bird dog isométrico,uni,,,,,,,0,,"En cuadrupedia, extiende brazo y pierna contrarios hasta la línea del tronco y quédate ahí todo el bloque. Cadera cuadrada, lumbar quieta. Imagina un vaso de agua sobre la lumbar."
core,Core para el hotel,activation,,variant,Bird dog,Activación,Bird dog codo-rodilla,alt,,,,,,,0,,"En cuadrupedia, extiende brazo y pierna contrarios. Entre repeticiones, junta codo y rodilla debajo del cuerpo antes de volver a extender. La lumbar no se mueve en el cierre ni en la apertura."
core,Core para el hotel,activation,,main,,Core,Plancha alta con toque de hombro,alt,Boca abajo,,,,,,2,,"Plancha alta, pies bien separados. Toca el hombro contrario y vuelve. El objetivo no es tocar rápido: es que la cadera no se mueva ni un centímetro. Si baila, separa más los pies o apoya las rodillas."
core,Core para el hotel,activation,,variant,Plancha alta con toque de hombro,Core,Plancha alta isométrica,bi,,,,,,,0,,"Plancha alta, manos bajo los hombros. Empuja el piso, espalda ancha, pelvis metida. Sostén sin movimiento. Si la lumbar se hunde, apoya las rodillas."
core,Core para el hotel,activation,,variant,Plancha alta con toque de hombro,Core,Plancha con rodillas apoyadas,alt,,,,,,,0,,"Plancha con las rodillas en el piso, pies despegados. Toca el hombro contrario con una mano y vuelve. La cadera no se mueve. Es la regresión correcta, no una versión menor."
core,Core para el hotel,activation,,main,,Core,Plancha lateral,uni,De costado,,,,,,2,,"Codo debajo del hombro, cuerpo en línea de cabeza a pies. Empuja la cadera de abajo hacia el techo en vez de solo aguantar. Si tiembla, está bien; si la cadera se cae, corta el bloque."
core,Core para el hotel,activation,,variant,Plancha lateral,Core,Plancha lateral con rodillas apoyadas,uni,,,,,,,0,,"De costado, antebrazo bajo el hombro, rodillas flexionadas y apoyadas. Cuerpo en línea de hombros a rodillas. Empuja la cadera de abajo hacia el techo. Misma línea de tronco, menos palanca."
core,Core para el hotel,activation,,variant,Plancha lateral,Core,Plancha lateral con elevación de pierna,uni,,,,,,,0,,"Antebrazo debajo del hombro, cuerpo en línea, cadera arriba. Una vez estable, sube y baja la pierna de arriba controlada. Oblicuos y glúteo medio."
core,Core para el hotel,activation,,main,,Core,Plancha alta a perro boca abajo,bi,Boca abajo,,,,,,2,,"Desde la plancha alta, empuja la cadera arriba y atrás hasta el perro boca abajo, talones al piso, y vuelve. Si los isquios están duros, flexiona un poco las rodillas: la espalda recta manda."
core,Core para el hotel,activation,,variant,Plancha alta a perro boca abajo,Core,Perro boca abajo sostenido,bi,,,,,,,0,,"Manos y pies en el piso, cadera alta, talones buscando el suelo. Quédate ahí todo el bloque pedaleando suave con los talones. Espalda larga; si los isquios tiran, flexiona un poco las rodillas."
core,Core para el hotel,activation,,variant,Plancha alta a perro boca abajo,Core,Plancha alta a rodillas,bi,,,,,,,0,,"Desde la plancha alta, baja las rodillas al piso y vuelve a extender. Pelvis metida en ambos puntos. Úsala si el hombro molesta en el perro boca abajo."
core,Core para el hotel,activation,,main,,Movilidad,El mejor estiramiento del mundo,uni,De pie a zancada,,,,,,2,,"Zancada profunda, pie adelantado por fuera de la mano. Baja el codo de adentro hacia el piso, aguanta un segundo, y después rota ese brazo abriendo hacia el techo siguiendo la mano con la mirada. Cadera, aductor y torácica en un solo gesto."
core,Core para el hotel,activation,,variant,El mejor estiramiento del mundo,Movilidad,Zancada baja con rotación,uni,,,,,,,0,,"Zancada con la rodilla de atrás apoyada, mano de adentro al piso junto al pie. Rota el tronco y abre el brazo de arriba hacia el techo, siguiendo la mano con la mirada."
core,Core para el hotel,activation,,variant,El mejor estiramiento del mundo,Movilidad,Zancada con manos en el piso,uni,,,,,,,0,,"Zancada profunda, las dos manos al piso por dentro del pie de adelante. Sin rotación: deja caer la cadera y respira. Pecho alto, rodilla de atrás suave."
core,Core para el hotel,activation,,main,,Movilidad,Barridos 90-90 de cadera,alt,Sentado,,,,,,2,,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Lleva las rodillas de un lado al otro como un limpiaparabrisas, lento. Pecho alto: si te encorvas, el movimiento sale de la lumbar. Ayúdate con las manos atrás si hace falta."
core,Core para el hotel,activation,,variant,Barridos 90-90 de cadera,Movilidad,90-90 sostenido,uni,,,,,,,0,,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Quédate de un lado, pecho alto, inclinándote suave hacia adelante desde la cadera. No redondees la lumbar para llegar más lejos."
core,Core para el hotel,activation,,variant,Barridos 90-90 de cadera,Movilidad,Mariposa sentado,bi,,,,,,,0,,"Plantas de los pies juntas, rodillas hacia afuera. Inclínate suave hacia adelante desde la cadera, espalda larga. No redondees para llegar más abajo."
core,Core para el hotel,activation,,main,,Movilidad,Postura de la paloma,uni,Piso,,,,60,,2,,"Pierna de adelante flexionada cruzada, la de atrás estirada y alineada, no abierta al costado. Presiona la espinilla de adelante contra el piso en vez de derrumbarte. Si la rodilla molesta, pon una almohada bajo la cadera."
core,Core para el hotel,activation,,variant,Postura de la paloma,Movilidad,Figura 4 boca arriba,uni,,,,,,,0,,"Boca arriba, cruza un tobillo sobre la rodilla contraria y trae el muslo de abajo hacia el pecho. Empuja suave la rodilla cruzada hacia afuera con el codo. Empieza por el lado que sientes más rígido. Respira largo y no fuerces el rango."
core,Core para el hotel,activation,,variant,Postura de la paloma,Movilidad,Figura 4 sentado,uni,,,,,,,0,,"Sentado al borde de una silla o de la cama, tobillo sobre la rodilla contraria. Inclínate suave hacia adelante desde la cadera, espalda larga. Empieza por el lado más rígido."
core,Core para el hotel,activation,,main,,Movilidad,Couch stretch,uni,Cama o pared,,,,60,,2,,"De rodillas de espaldas a una pared o a la base de la cama, empeine de atrás apoyado y el otro pie adelante en zancada. Mete la pelvis y aprieta el glúteo de la pierna de atrás antes de subir el tronco. Sin eso, la pelvis rota y el estiramiento se lo lleva la lumbar en vez del psoas y el cuádriceps. Casi nadie necesita subir tanto como cree."
core,Core para el hotel,activation,,variant,Couch stretch,Movilidad,Psoas con apriete de glúteo,uni,,,,,,,0,,"Media rodilla, pie de adelante plano. Mete la pelvis y aprieta fuerte el glúteo de la pierna de atrás antes de avanzar la cadera. Sin ese apriete estás estirando la lumbar y no el psoas: ese apriete es el ejercicio."
core,Core para el hotel,activation,,variant,Couch stretch,Movilidad,Cuádriceps de pie,uni,,,,,,,0,,"De pie, talón al glúteo, rodillas juntas y pelvis metida. Sujeta el tobillo, no el pie. Si la lumbar se arquea, afloja el rango. Es la versión de pie cuando el piso no es opción."
core,Core para el hotel,activation,,main,,Movilidad,Postura del niño a cobra,bi,Piso,,,,,,2,,"Siéntate sobre los talones con los brazos adelante; deslízate hacia adelante dejando caer la cadera y abriendo el pecho. Ida y vuelta, respirando. Cierra quedándote en la postura del niño."
core,Core para el hotel,activation,,variant,Postura del niño a cobra,Movilidad,Postura del niño,bi,,,,,,,0,,"Sentado sobre los talones, brazos largos adelante, frente al piso. Sin flujo: solo respira hacia la espalda baja y deja que la cadera baje un poco más con cada exhalación."
core,Core para el hotel,activation,,variant,Postura del niño a cobra,Movilidad,Cobra sostenida,bi,,,,,,,0,,"Boca abajo, manos bajo los hombros, pecho arriba y cadera en el piso. Hombros lejos de las orejas. Si la lumbar aprieta, baja un poco el pecho o adelanta las manos."
movilidad,Movilidad,activation,calfWall,main,,,Sóleo en pared,uni,Pared,,,,45,5,1,,"Punta del pie contra la pared, talón en el piso. Lleva la rodilla hacia la pared manteniéndola flexionada. Rodilla doblada es sóleo. Si lo sientes en el vientre del gemelo, dobla más la rodilla."
movilidad,Movilidad,activation,calfWall_v1,variant,Sóleo en pared,,Rodillo: vientre del gemelo,uni,Rodillo,,,,,,0,,"Solo la parte carnosa del gemelo: nunca pases el rodillo por el tendón — es tejido muy inervado y la fricción ahí solo lo empeora. Sentado, el gemelo sobre el rodillo y la otra pierna cruzada encima para cargar. Cuando encuentres el punto que más se queja, párate ahí en vez de ir y venir rápido."
movilidad,Movilidad,activation,calfGastro,main,,,Gemelo en pared,uni,Pared,,,,45,1,0,,"Manos en la pared, pierna de atrás recta, talón clavado. Rodilla estirada es gemelo. Cadera adelante y tronco erguido: si te vas de espaldas, perdiste el estiramiento."
movilidad,Movilidad,activation,hamSupine,main,,,Isquios boca arriba,uni,Sin equipo,,,,45,4,1,,"Agárrate por detrás del muslo y estira la rodilla hasta donde llegue sin que la cadera se despegue. La otra pierna apoyada. La punta del pie hacia ti solo al final, no desde el principio."
movilidad,Movilidad,activation,hamSupine_v1,variant,Isquios boca arriba,,Isquios con toalla,uni,Toalla,,,,,,0,,"Toalla en la planta del pie, pierna extendida hacia el techo. Tira desde la toalla, no desde el cuello. La otra pierna queda apoyada en el piso."
movilidad,Movilidad,activation,fig4,main,,,Figura 4 boca arriba,uni,Sin equipo,,,,45,5,1,,"Boca arriba, cruza un tobillo sobre la rodilla contraria y trae el muslo de abajo hacia el pecho. Empuja suave la rodilla cruzada hacia afuera con el codo. Empieza por el lado que sientes más rígido. Respira largo y no fuerces el rango."
movilidad,Movilidad,activation,fig4_v1,variant,Figura 4 boca arriba,,Glúteo con pelota,uni,Pelota,,,,,,0,,"Sentado sobre la pelota, busca el punto del glúteo que se queja y quédate quieto ahí respirando, no ruedes. Cruza el tobillo sobre la rodilla para llegar más profundo."
movilidad,Movilidad,activation,psoas,main,,,Psoas con apriete de glúteo,uni,Sin equipo,,,,45,5,0,,"Media rodilla, pie de adelante plano. Mete la pelvis y aprieta fuerte el glúteo de la pierna de atrás antes de avanzar la cadera. Sin ese apriete estás estirando la lumbar y no el psoas: ese apriete es el ejercicio."
movilidad,Movilidad,activation,quadSide,main,,,Cuádriceps de costado,uni,Sin equipo,,,,45,4,2,,"De costado, agarra el tobillo de arriba y lleva el talón al glúteo. Pelvis metida, rodilla apuntando al piso, no abierta hacia afuera. Si la lumbar se arquea, afloja el rango."
movilidad,Movilidad,activation,quadSide_v1,variant,Cuádriceps de costado,,Rodillo: cuádriceps,uni,Rodillo,,,,,,0,,"Boca abajo, el muslo sobre el rodillo, del pliegue de la cadera hasta justo arriba de la rótula. Presión media: si tienes que aguantar la respiración, es demasiada. Cuando encuentres un punto sensible, párate ahí y flexiona y estira la rodilla."
movilidad,Movilidad,activation,quadSide_v2,variant,Cuádriceps de costado,,Couch stretch,uni,Pared,,,,,,0,,"De rodillas de espaldas a una pared o a la base de la cama, empeine de atrás apoyado y el otro pie adelante en zancada. Mete la pelvis y aprieta el glúteo de la pierna de atrás antes de subir el tronco. Sin eso, la pelvis rota y el estiramiento se lo lleva la lumbar en vez del psoas y el cuádriceps. Casi nadie necesita subir tanto como cree."
movilidad,Movilidad,activation,itCross,main,,,Cruce de cadera externa,uni,Sin equipo,,,,45,3,1,,"Boca arriba, lleva una rodilla cruzada al lado opuesto dejando que la pelvis rote, brazos abiertos. Buscas tensor y glúteo, por fuera de la cadera. La cintilla no se estira a golpes. No se ablanda a golpes: lo que se afloja es lo que tira de ella."
movilidad,Movilidad,activation,itCross_v1,variant,Cruce de cadera externa,,Tensor y vasto externo con rodillo,uni,Rodillo,,,,,,0,,"Rodillo justo debajo del hueso de la cadera por fuera, después en el lateral del muslo, arriba y adelante. Presión moderada y lenta. No ruedes la cintilla: es tendón, y se inflama."
movilidad,Movilidad,activation,adductor,main,,,Estocada lateral en media rodilla,uni,Sin equipo,,,,45,5,0,,"De rodillas, una pierna estirada al costado con el pie apoyado. Lleva la cadera atrás y hacia el lado contrario. Espalda larga. Es el aductor largo."
movilidad,Movilidad,activation,butterfly,main,,,Mariposa,bi,Sin equipo,,,,60,4,0,,Plantas juntas. Inclínate desde la cadera con la espalda larga: redondear para llegar más abajo es puro engaño. Los codos pueden empujar suave las rodillas.
movilidad,Movilidad,activation,footArch,main,,,Arco y dedos del pie,uni,Sin equipo,,,,45,3,1,,"Sentado sobre los talones con los dedos flexionados hacia adelante. Si es mucho, apóyate con las manos. Después abre y cierra los dedos."
movilidad,Movilidad,activation,footArch_v1,variant,Arco y dedos del pie,,Fascia plantar con pelota,uni,Pelota,,,,,,0,,"De pie o sentado, rueda la planta sobre la pelota del talón a los dedos, lento. Cuando un punto se queje, párate ahí. Presión que puedas sostener respirando normal."
movilidad,Movilidad,activation,ankleKick,main,,,Tobillos y empeine,bi,Sin equipo,,,,45,3,1,,"Sentado sobre los talones con los empeines planos en el piso. Sube apenas las rodillas para cargar el empeine. Después, círculos amplios de tobillo."
movilidad,Movilidad,activation,ankleKick_v1,variant,Tobillos y empeine,,Empeine y tibial con rodillo,bi,Rodillo,,,,,,0,,"En cuadrupedia, el rodillo sobre la parte de adelante de la tibia. Rueda despacio de la rodilla al tobillo. Zona sensible: menos presión de la que crees."
