plan_id,plan_name_at_sale,date,payment_type,amount,tax,fee,earnings
368997,[Reusable] 4 Week Polarized to improve speed (Garmin Structured Workouts) - Unlimited email support,2023-07-06,Sale,19.99,0,6,13.99
401094,[Reusable] Swim 1500m non-stop in 6 weeks - Polarized - Garmin structured workouts,2023-07-11,Sale,21.79,1.8,6,13.99
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2023-07-13,Sale,31.19,1.2,9,20.99
401093,[Reusable] Swim 1500m non-stop in 4 weeks - Polarized - Garmin structured workouts,2023-07-17,Sale,14.99,0,4.5,10.49
395435,[New 2025] 5 km beginners - Run with power Stryd - Science based polarized 80-20 - Unlimited support,2023-07-31,Sale,12.71,0.72,3.6,8.39
413817,"[New 2025] 8-week polarized training to improve FTP, speed & endurance",2023-08-01,Sale,21.39,1.4,6,13.99
391451,5 km para intermedios (extendido) - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-08-05,Sale,18.71,0.72,5.4,12.59
401093,[Reusable] Swim 1500m non-stop in 4 weeks - Polarized - Garmin structured workouts,2023-08-12,Sale,14.99,0,4.5,10.49
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2023-08-28,Sale,29.99,0,9,20.99
408607,Tus primeros 1900m - Sincroniza con Garmin - Soporte ilimitado por mail,2023-09-04,Sale,15.99,0,4.8,11.19
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2023-09-17,Sale,29.99,0,9,20.99
395435,[New 2025] 5 km beginners - Run with power Stryd - Science based polarized 80-20 - Unlimited support,2023-09-26,Sale,13.13,1.14,3.6,8.39
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2023-09-26,Sale,29.99,0,9,20.99
415245,21 km para avanzados - 12 semanas - Sistema polarizado a piramidal - Soporte por email,2023-09-28,Sale,31.19,1.2,9,20.99
408613,[Reusable] 4 Week Polarized to improve endurance (Garmin Structured Workouts) - Email support,2023-09-29,Sale,19.99,0,6,13.99
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2023-10-07,Sale,15.99,0,4.8,11.19
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-10-14,Sale,12.99,0,3.9,9.09
429688,Triatlón HALF / media distancia - Sistema polarizado 80-20 - Intermedios a avanzados,2023-10-19,Sale,34.99,0,10.5,24.49
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-10-19,Sale,13.51,0.52,3.9,9.09
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2023-10-20,Sale,15.99,0,4.8,11.19
393660,Domina los 1500m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2023-10-21,Sale,15.59,0.6,4.5,10.49
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-10-23,Sale,13.51,0.52,3.9,9.09
395634,[New 2025] 5 km beginners (extended) - Run with power - Stryd - Polarized 80-20 - Unlimited support,2023-10-31,Sale,17.67,0.68,5.1,11.89
392377,Nadar más rápido en 4 semanas con el sistema 80-20 polarizado - (Sincroniza con Garmin),2023-11-03,Sale,14.99,0,4.5,10.49
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-11-08,Sale,31.19,1.2,9,20.99
391449,5 km para intermedios - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-11-10,Sale,11.99,0,3.6,8.39
401097,[Reusable] 6-Week Polarized training to improve speed (Garmin Structured Workouts),2023-11-14,Sale,20.99,0,6.3,14.69
432952,Marathon - 18 weeks - Up to 90 km weekly - Heart rate based (pace also available),2023-11-14,Sale,34.99,0,10.5,24.49
415102,"[New 2025] 16-week polarized training to improve FTP, speed & endurance",2023-12-02,Sale,39.23,3.24,10.8,25.19
437867,[New 2025] 10 km for advanced runners - 12 weeks - Science based polarized 80-20 - Unlimited support,2023-12-06,Sale,19.99,0,6,13.99
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2023-12-08,Sale,19.99,0,6,13.99
439917,21 km para intermedios - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-12-09,Sale,25.99,1,7.5,17.49
434684,Maratón - 12 semanas - Entre 110 y 135 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2023-12-11,Sale,31.19,1.2,9,20.99
441250,Triatlón - Half / Media distancia para intermedios a avanzados - Polarizado - Soporte por mail,2023-12-14,Sale,46.79,1.8,13.5,31.49
436153,Maratona - 18 semanas - Até 90 km por semana - Frequência cardíaca,2023-12-18,Sale,34.99,0,10.5,24.49
408733,[Reusable] Swim longer - Endurance for beginners - Syncs with Garmin - Unlimited support,2023-12-18,Sale,24.99,0,7.5,17.49
437863,[New 2025] 10 km for intermediates - Science based polarized 80-20 - Unlimited support,2023-12-23,Sale,19.99,0,6,13.99
434684,Maratón - 12 semanas - Entre 110 y 135 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2023-12-28,Sale,31.19,1.2,9,20.99
413817,"[New 2025] 8-week polarized training to improve FTP, speed & endurance",2023-12-30,Sale,21.64,1.65,6,13.99
391113,10 km para intermedios - 12 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2023-12-31,Sale,20.79,0.8,6,13.99
408733,[Reusable] Swim longer - Endurance for beginners - Syncs with Garmin - Unlimited support,2024-01-01,Sale,24.99,0,7.5,17.49
436153,Maratona - 18 semanas - Até 90 km por semana - Frequência cardíaca,2024-01-08,Sale,34.99,0,10.5,24.49
439403,"London Marathon 2025 - 12 weeks - 110 to 135 km weekly - Start by February 02, 2025",2024-01-12,Sale,29.99,0,9,20.99
441250,Triatlón - Half / Media distancia para intermedios a avanzados - Polarizado - Soporte por mail,2024-01-15,Sale,46.79,1.8,13.5,31.49
415129,Triatlón short/sprint - Principiantes a intermedios - Sistema polarizado 80-20,2024-01-18,Sale,34.99,0,10.5,24.49
439403,"London Marathon 2025 - 12 weeks - 110 to 135 km weekly - Start by February 02, 2025",2024-01-20,Sale,29.99,0,9,20.99
393672,3000m para intermedios a avanzados - Sincroniza con Garmin),2024-01-21,Sale,24.99,0,7.5,17.49
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-01-22,Sale,19.99,0,6,13.99
443923,Triathlon - Olympic distance for beginners to intermediate - Polarized - Free email support,2024-01-23,Sale,39.99,0,12,27.99
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-01-24,Sale,14.99,0,4.5,10.49
391449,5 km para intermedios - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-01-28,Sale,14.99,0,4.5,10.49
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-02-05,Sale,19.99,0,6,13.99
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-02-08,Sale,15.59,0.6,4.5,10.49
393660,Domina los 1500m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-02-20,Sale,20.79,0.8,6,13.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-02-29,Sale,24.99,0,7.5,17.49
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-02-29,Sale,24.99,0,7.5,17.49
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-03-01,Sale,19.99,0,6,13.99
392759,10 km intermedios Stryd Potencia - Polarizado 80-20 - Soporte por mail ilimitado,2024-03-01,Sale,20.79,0.8,6,13.99
441905,Tu primer FULL - Triatlón de larga distancia - Principiantes - 21 semanas - Soporte por mail ilimita,2024-03-02,Sale,51.99,2,15,34.99
434681,Maratón - 12 semanas - Entre 90 y 110 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-03-03,Sale,29.99,0,9,20.99
408604,Nadar más rápido para principiantes - Sincroniza con Garmin - Soporte por mail ilimitado,2024-03-03,Sale,20.79,0.8,6,13.99
413817,"[New 2025] 8-week polarized training to improve FTP, speed & endurance",2024-03-04,Sale,19.99,0,6,13.99
434681,Maratón - 12 semanas - Entre 90 y 110 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-03-04,Credit,-29.99,0,-9,-20.99
392378,Nadar más rápido 8 semanas - Sistema polarizado (Sincroniza con GARMIN),2024-03-05,Sale,29.99,0,9,20.99
436340,4 Semanas Polarizadas para Melhorar a Velocidade (Treinos Estruturados da Garmin),2024-03-06,Sale,19.99,0,6,13.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-03-07,Sale,24.99,0,7.5,17.49
437638,[New 2025] 21 km for beginners - Science based polarized 80-20 - Unlimited support,2024-03-12,Sale,24.99,0,7.5,17.49
432952,Marathon - 18 weeks - Up to 90 km weekly - Heart rate based (pace also available),2024-03-16,Sale,34.99,0,10.5,24.49
437635,[New 2025] 21 km for advanced runners - Science based polarized 80-20 - Unlimited support,2024-03-18,Sale,24.99,0,7.5,17.49
408737,[Reusable] 1500m for advanced swimmers - Polarized - Garmin structured workouts,2024-03-21,Sale,19.99,0,6,13.99
391451,5 km para intermedios (extendido) - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-03-26,Sale,20.79,0.8,6,13.99
380280,[New 2025] 5 km for beginners - Science based polarized 80-20 - Unlimited support - Reusable plan,2024-03-28,Sale,15.72,0.73,4.5,10.49
392377,Nadar más rápido en 4 semanas con el sistema 80-20 polarizado - (Sincroniza con Garmin),2024-03-30,Sale,19.99,0,6,13.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-03-31,Sale,24.99,0,7.5,17.49
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-03-31,Sale,24.99,0,7.5,17.49
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-01,Sale,24.99,0,7.5,17.49
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2024-04-01,Sale,19.99,0,6,13.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-01,Sale,24.99,0,7.5,17.49
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2024-04-03,Sale,19.99,0,6,13.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-03,Credit,-24.99,0,-7.5,-17.49
437756,5 km para intermediários - 12 semanas - Sistema polarizado 80-20 - Suporte por e-mail ilimitado,2024-04-09,Sale,19.99,0,6,13.99
391452,5 km para avanzados - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-12,Sale,20.79,0.8,6,13.99
436153,Maratona - 18 semanas - Até 90 km por semana - Frequência cardíaca,2024-04-12,Sale,34.99,0,10.5,24.49
437724,[New 2025] 10 km for beginner runners - Science based polarized 80-20 - Unlimited support,2024-04-14,Sale,15.44,0.45,4.5,10.49
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-14,Sale,14.99,0,4.5,10.49
391113,10 km para intermedios - 12 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-20,Sale,19.99,0,6,13.99
392378,Nadar más rápido 8 semanas - Sistema polarizado (Sincroniza con GARMIN),2024-04-21,Sale,31.19,1.2,9,20.99
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-04-24,Sale,19.99,0,6,13.99
443818,Ultra: Race from >42km to 100km - 18 weeks - High weekly volume between 110 and 135 km,2024-04-26,Sale,42,2,12,28
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-04-28,Sale,24.99,0,7.5,17.49
434685,Maratón - 18 semanas - Entre 110 y 135 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-04-28,Sale,34.99,0,10.5,24.49
439917,21 km para intermedios - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-05-01,Sale,41.99,0,12.6,29.39
415102,"[New 2025] 16-week polarized training to improve FTP, speed & endurance",2024-05-03,Sale,41.99,0,12.6,29.39
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-05-04,Sale,25.99,1,7.5,17.49
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2024-05-08,Sale,41.59,1.6,12,27.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-05-16,Sale,34.99,0,10.5,24.49
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-05-19,Sale,25.99,1,7.5,17.49
393676,Tus primeros 3000m en 8 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-05-21,Sale,29.99,0,9,20.99
432952,Marathon - 18 weeks - Up to 90 km weekly - Heart rate based (pace also available),2024-05-23,Sale,42.39,2.4,12,27.99
474289,Maratón de Berlin 2024 - 18 semanas - Hasta 90 kms semanales - Empezar 26 de mayo 2024,2024-05-25,Sale,42.79,2.8,12,27.99
415118,"[Nuevo 2025] 16-semanas polarizadas para mejorar FTP, velocidad y resistencia",2024-05-28,Sale,37.79,0,11.34,26.45
479415,[Nuevo 2025] Ciclismo + gimnasio: 16 semanas para mejorar FTP y VO2Max,2024-05-30,Sale,49.99,0,15,34.99
441250,Triatlón - Half / Media distancia para intermedios a avanzados - Polarizado - Soporte por mail,2024-06-02,Sale,72.79,2.8,21,48.99
429685,Triatlon olímpico para intermedios a avanzados - Sistema polarizado 80-20 - 12 semanas + 1 de testeo,2024-06-04,Sale,40.49,0,12.15,28.34
429685,Triatlon olímpico para intermedios a avanzados - Sistema polarizado 80-20 - 12 semanas + 1 de testeo,2024-06-04,Sale,44.99,0,13.5,31.49
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2024-06-04,Sale,39.99,0,12,27.99
415081,"[Nuevo 2025] 8-semanas polarizadas para mejorar FTP, velocidad y resistencia",2024-06-07,Sale,28.07,1.08,8.1,18.89
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-06-10,Sale,31.49,0,9.45,22.04
437461,Triathlon - Short/Sprint - 8 weeks - Beginners - Polarized 80/20 - Reusable,2024-06-12,Sale,43.19,3.2,12,27.99
401093,[Reusable] Swim 1500m non-stop in 4 weeks - Polarized - Garmin structured workouts,2024-06-14,Sale,23.99,0,7.2,16.79
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-06-16,Sale,34.99,0,10.5,24.49
390919,5 km para principiantes - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-06-24,Sale,22.49,0,6.75,15.74
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2024-06-30,Sale,25.43,1.44,7.2,16.79
429685,Triatlon olímpico para intermedios a avanzados - Sistema polarizado 80-20 - 12 semanas + 1 de testeo,2024-06-30,Sale,40.49,0,12.15,28.34
429685,Triatlon olímpico para intermedios a avanzados - Sistema polarizado 80-20 - 12 semanas + 1 de testeo,2024-07-06,Sale,40.49,0,12.15,28.34
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2024-07-11,Sale,23.99,0,7.2,16.79
415118,"[Nuevo 2025] 16-semanas polarizadas para mejorar FTP, velocidad y resistencia",2024-07-12,Sale,37.79,0,11.34,26.45
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2024-07-21,Sale,23.99,0,7.2,16.79
434678,Maratón - 12 semanas - Hasta 90 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-07-21,Sale,28.07,1.08,8.1,18.89
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-07-22,Sale,23.99,0,7.2,16.79
434678,Maratón - 12 semanas - Hasta 90 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-07-23,Sale,29.99,0,9,20.99
413817,"[New 2025] 8-week polarized training to improve FTP, speed & endurance",2024-07-25,Sale,29.99,0,9,20.99
401099,[Reusable] Your first 3000m non-stop in 6 weeks - Polarized - Garmin structured workouts,2024-07-27,Sale,35.99,0,10.8,25.19
413662,Triatlón olímpico para principiantes a intermedios - Sistema polarizado 80-20,2024-07-29,Sale,37.43,1.44,10.8,25.19
476495,Maratón - 12 semanas - Hasta 90 km semanales - Zonas por ritmo / pace,2024-07-31,Sale,34.99,0,10.5,24.49
480276,Duatlón + fortalecimiento - Mantenimiento 12 semanas - Período base + Gimnasio,2024-08-03,Sale,54.99,0,16.5,38.49
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-08-04,Sale,23.39,0.9,6.75,15.74
493085,[Nuevo 2025] 10 km - Correr 🏃 y Fuerza 🏋️ - Plan para avanzados. Rutina de gimnasio gratis!,2024-08-04,Sale,50,0,15,35
393660,Domina los 1500m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-08-04,Sale,22.45,0.86,6.48,15.11
434678,Maratón - 12 semanas - Hasta 90 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-08-05,Sale,28.07,1.08,8.1,18.89
415102,"[New 2025] 16-week polarized training to improve FTP, speed & endurance",2024-08-05,Sale,37.79,0,11.34,26.45
480288,Duatlon + fortalecimiento - POWERMAN FULL (10k 🏃+150k 🚴+30k 🏃) + Protocolo de gimnasio (Avanzado),2024-08-06,Sale,87.11,7.92,23.76,55.43
437635,[New 2025] 21 km for advanced runners - Science based polarized 80-20 - Unlimited support,2024-08-07,Sale,42.99,0,12.9,30.09
434678,Maratón - 12 semanas - Hasta 90 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-08-13,Sale,31.19,1.2,9,20.99
429685,Triatlon olímpico para intermedios a avanzados - Sistema polarizado 80-20 - 12 semanas + 1 de testeo,2024-08-18,Sale,44.99,0,13.5,31.49
415118,"[Nuevo 2025] 16-semanas polarizadas para mejorar FTP, velocidad y resistencia",2024-08-25,Sale,41.99,0,12.6,29.39
433343,Marathon - 12 weeks - Up to 90 km weekly - Heart rate based (pace based available),2024-08-26,Sale,29.99,0,9,20.99
493936,2025 Weight loss plan - 18 weeks - Triathlon 🏊‍♂️🚴🏃 + Lift 🏋️ - Endurance + gym training plan,2024-08-27,Sale,53.99,0,16.2,37.79
493733,"2025 Weight loss plan - 8 weeks - Ride 🚴 + Lift 🏋️ - Improve FTP, strength and lose that weight!",2024-08-29,Sale,39.99,0,12,27.99
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-09-02,Sale,31.49,0,9.45,22.04
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-09-02,Sale,21.59,0,6.48,15.11
415118,"[Nuevo 2025] 16-semanas polarizadas para mejorar FTP, velocidad y resistencia",2024-09-03,Sale,39.3,1.51,11.34,26.45
437753,5 km para iniciantes - 12 semanas - Sistema polarizado 80-20 - Suporte por e-mail ilimitado,2024-09-07,Sale,29.99,0,9,20.99
439406,London Marathon 2025 - 18 weeks - 110 to 135 km weekly - Start by December 22 2024,2024-09-09,Sale,57.99,0,17.4,40.59
401095,[Reusable] Swim 1900m non-stop in 4 weeks - Crush the half distance! - Polarized - Syncs with Garmin,2024-09-09,Sale,23.14,1.55,6.48,15.11
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-09-10,Sale,24.99,0,7.5,17.49
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-09-10,Sale,34.99,0,10.5,24.49
492218,[2025 Hybrid athlete] Ride 🚴 + Lift 🏋️ - Improve your FTP in 16 weeks. Cycling + gym training plan,2024-09-12,Sale,56.67,4.68,15.6,36.39
415245,21 km para avanzados - 12 semanas - Sistema polarizado a piramidal - Soporte por email,2024-09-15,Sale,40.24,1.55,11.61,27.08
493925,"Bajá de peso: Mix de correr 🏃, ciclismo 🚴 y gimnasio 🏋️ - 16 semanas",2024-09-15,Sale,56.15,2.16,16.2,37.79
493947,2025 Weight loss plan - 16 weeks - Run 🏃 & Lift 🏋️ - Gym program included,2024-09-16,Sale,45,0,13.5,31.5
493939,2025 Weight loss plan - 16 weeks - Ride 🚴 Run 🏃 & Lift 🏋️ - Lose that weight!,2024-09-19,Sale,49.5,0,14.85,34.65
493733,"2025 Weight loss plan - 8 weeks - Ride 🚴 + Lift 🏋️ - Improve FTP, strength and lose that weight!",2024-09-19,Sale,39.66,3.67,10.8,25.19
491764,"Plan para ganar masa muscular - 8 semanas, 4 veces por semana",2024-09-22,Sale,20.79,0.8,6,13.99
401093,[Reusable] Swim 1500m non-stop in 4 weeks - Polarized - Garmin structured workouts,2024-09-29,Sale,23.16,1.57,6.48,15.11
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-10-05,Sale,22.49,0,6.75,15.74
441250,Triatlón - Half / Media distancia para intermedios a avanzados - Polarizado - Soporte por mail,2024-10-07,Sale,69.99,0,21,48.99
393663,Domina los 1900m en 4 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-10-10,Sale,23.99,0,7.2,16.79
415231,21 km para principiantes - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-10-11,Sale,32.75,1.26,9.45,22.04
391449,5 km para intermedios - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-10-12,Sale,29.99,0,9,20.99
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-10-14,Sale,22.49,0,6.75,15.74
408734,[Reusable] 1900m for beginners - Crush the half distance - Syncs with Garmin - Unlimited support,2024-10-23,Sale,26.99,0,8.1,18.89
392378,Nadar más rápido 8 semanas - Sistema polarizado (Sincroniza con GARMIN),2024-10-28,Sale,31.49,0,9.45,22.04
393676,Tus primeros 3000m en 8 semanas con el sistema polarizado 80-20 (Sincroniza con Garmin),2024-10-31,Sale,29.99,0,9,20.99
480015,Triatlón + fortalecimiento - Mantenimiento 12 semanas - Período base + Gimnasio,2024-10-31,Sale,59.39,0,17.82,41.57
391102,5 km para principiantes (extendido) - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-10-31,Sale,26.99,0,8.1,18.89
408733,[Reusable] Swim longer - Endurance for beginners - Syncs with Garmin - Unlimited support,2024-11-03,Sale,34.33,1.94,9.72,22.67
492218,[2025 Hybrid athlete] Ride 🚴 + Lift 🏋️ - Improve your FTP in 16 weeks. Cycling + gym training plan,2024-11-05,Sale,46.79,0,14.04,32.75
434678,Maratón - 12 semanas - Hasta 90 km semanales - Ritmo / Potencia / Frecuencia cardíaca,2024-11-05,Sale,29.99,0,9,20.99
480121,Triatlón + fortalecimiento - Plan para media distancia (half) + Protocolo de gimnasio (Avanzados),2024-11-05,Sale,71.99,0,21.6,50.39
479415,[Nuevo 2025] Ciclismo + gimnasio: 16 semanas para mejorar FTP y VO2Max,2024-11-05,Sale,49.99,0,15,34.99
493939,2025 Weight loss plan - 16 weeks - Ride 🚴 Run 🏃 & Lift 🏋️ - Lose that weight!,2024-11-08,Sale,55,0,16.5,38.5
493947,2025 Weight loss plan - 16 weeks - Run 🏃 & Lift 🏋️ - Gym program included,2024-11-08,Sale,45,0,13.5,31.5
391110,10 km para principiantes - 8 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-11-10,Sale,24.99,0,7.5,17.49
480128,Triatlón + fortalecimiento - Plan para larga distancia (full) + Protocolo de gimnasio (Avanzados),2024-11-10,Sale,87.99,0,26.4,61.59
436153,Maratona - 18 semanas - Até 90 km por semana - Frequência cardíaca,2024-11-11,Sale,42.39,2.4,12,27.99
480121,Triatlón + fortalecimiento - Plan para media distancia (half) + Protocolo de gimnasio (Avanzados),2024-11-11,Sale,71.99,0,21.6,50.39
439917,21 km para intermedios - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-11-12,Sale,41.99,0,12.6,29.39
474825,"[Nuevo 2025] 16-semanas polarizadas para mejorar FTP, velocidad y resistencia - Ritmo cardíaco",2024-11-17,Sale,37.79,0,11.34,26.45
493719,[New 2025] Indoor: Ride 🚴 + Lift 🏋️ - Improve your FTP in 16 weeks. Cycling + strength training,2024-11-17,Sale,51.99,0,15.6,36.39
439917,21 km para intermedios - 16 semanas - Sistema polarizado 80-20 - Soporte por mail ilimitado,2024-11-23,Sale,37.79,0,11.34,26.45
493735,"2025 Weight loss plan - 16 weeks - Ride 🚴 + Lift 🏋️ - Improve FTP, strength and lose that weight!",2024-11-24,Sale,53.99,0,16.2,37.79
437724,[New 2025] 10 km for beginner runners - Science based polarized 80-20 - Unlimited support,2024-11-25,Sale,24.99,0,7.5,17.49
