exercise_name_es,artifact,type,parent_exercise,tag,dose,name_en,name_pt,cue_es,cue_en,cue_pt
Figura 4 sentado,core,variant,Paloma (pigeon),,,Seated Figure-4,Figura 4 sentado,"Sentado al borde de una silla o de la cama, tobillo sobre la rodilla contraria. Inclínate suave hacia adelante desde la cadera, espalda larga. Empieza por el lado más rígido.","Sit on the edge of a chair or bed, ankle over the opposite knee. Hinge gently forward from the hip, long spine. Start on the tighter side.","Sentado na beira de uma cadeira ou da cama, tornozelo sobre o joelho contrário. Incline leve para frente a partir do quadril, costas longas. Comece pelo lado mais rígido."
Mariposa sentado,core,variant,Barridos 90-90 de cadera,,,Seated Butterfly,Borboleta sentado,"Plantas de los pies juntas, rodillas hacia afuera. Inclínate suave hacia adelante desde la cadera, espalda larga. No redondees para llegar más abajo.","Soles of the feet together, knees out. Hinge gently forward from the hip, long spine. Don't round to get lower.","Plantas dos pés juntas, joelhos para fora. Incline leve para frente a partir do quadril, costas longas. Não arredonde para chegar mais baixo."
Zancada baja con glúteo activo,core,variant,Couch stretch,,,Half-Kneeling Hip Flexor with Glute Squeeze,Passada baixa com glúteo ativo,"Zancada baja, rodilla de atrás en el piso, pie de adelante plano. Mete la pelvis, aprieta el glúteo de atrás y recién ahí avanza la cadera. Sin ese apriete estiras la lumbar, no el psoas.","Half-kneeling, back knee down, front foot flat. Tuck the pelvis, squeeze the rear glute, then shift the hip forward. Without that squeeze you stretch the low back, not the psoas.","Passada baixa, joelho de trás no chão, pé da frente apoiado. Encaixe a pelve, aperte o glúteo de trás e só então avance o quadril. Sem esse aperto você alonga a lombar, não o psoas."
Cobra sostenida,core,variant,Postura del niño a cobra,,,Held Cobra,Cobra sustentada,"Boca abajo, manos bajo los hombros, pecho arriba y cadera en el piso. Hombros lejos de las orejas. Si la lumbar aprieta, baja un poco el pecho o adelanta las manos.","Lie face down, hands under the shoulders, chest up, hips on the floor. Shoulders away from the ears. If the low back gripes, lower the chest or walk the hands forward.","De bruços, mãos sob os ombros, peito alto e quadril no chão. Ombros longe das orelhas. Se a lombar apertar, desça um pouco o peito ou avance as mãos."
Crunch corto,core,variant,Toques de talón (pingüinos),,,Short-Range Crunch,Abdominal curto,"Boca arriba, manos detrás de la cabeza sin tirar del cuello. Despega solo los omóplatos y quédate en ese rango corto, con tensión constante. No subas hasta sentarte.","On your back, hands behind the head without pulling on the neck. Lift only the shoulder blades and stay in that short range, tension on the whole time. Don't sit all the way up.","De barriga para cima, mãos atrás da cabeça sem puxar o pescoço. Descole só as omoplatas e fique nessa amplitude curta, com tensão constante. Não suba até sentar."
Descenso de piernas,core,variant,Dead bug,,,Single-Leg Lowers,Descida de pernas,"Boca arriba, piernas a 90°, brazos quietos. Baja una pierna por vez hasta rozar el piso con el talón y vuelve. La lumbar no se despega: si se levanta, no bajes tanto.","On your back, knees at 90°, arms still. Lower one leg at a time until the heel skims the floor, then return. Low back stays down: if it peels up, don't lower as far.","De barriga para cima, pernas a 90°, braços quietos. Desça uma perna por vez até o calcanhar roçar o chão e volte. A lombar não descola: se levantar, desça menos."
Almeja con minibanda,recuperacion,variant,Almeja lenta,Minibanda,,Banded Clamshell,Concha com miniband,"De costado, banda por encima de las rodillas, talones juntos. Abre la rodilla de arriba sin que la cadera se caiga hacia atrás. La bajada tan lenta como la subida.","On your side, band above the knees, heels together. Open the top knee without letting the hip roll back. Lower as slowly as you lift.","De lado, faixa acima dos joelhos, calcanhares juntos. Abra o joelho de cima sem o quadril cair para trás. A descida tão lenta quanto a subida."
Círculos de tobillo + elevación con banda,activacion,main,,Minibanda,,Ankle Circles + Banded Calf Raise,Círculos de tornozelo + elevação com faixa,"Círculos de tobillo primero, en las dos direcciones. Después, banda en los tobillos: sube a puntas contra la banda y baja lento y completo.","Ankle circles first, both directions. Then band around the ankles: rise onto the toes against the band and lower slow and all the way.","Círculos de tornozelo primeiro, nos dois sentidos. Depois, faixa nos tornozelos: suba nas pontas contra a faixa e desça lento e completo."
Marcha con rodilla alta,activacion,main,,Sin equipo,,High-Knee March,Marcha com joelho alto,"Marcha en el lugar, rodilla arriba, pie de apoyo activo, tronco erguido. No te balancees hacia atrás para levantar más: esa es la trampa.","March in place, knee up, stance foot active, torso tall. Don't lean back to lift the knee higher — that's the cheat.","Marcha no lugar, joelho alto, pé de apoio ativo, tronco ereto. Não jogue o tronco para trás para levantar mais: essa é a trapaça."
Caminata lateral con minibanda,recuperacion,variant,Caminata lateral en media sentadilla,Minibanda,,Banded Lateral Walk,Caminhada lateral com miniband,"Media sentadilla, banda en los tobillos o por encima de las rodillas. Camina de lado con pasos parejos, sin que el pie de atrás se arrastre. Rodillas hacia afuera y cadera a la misma altura.","Half squat, band at the ankles or above the knees. Side-step with even strides, back foot not dragging. Knees pressing out, hips level.","Meio agachamento, faixa nos tornozelos ou acima dos joelhos. Ande de lado com passos iguais, sem o pé de trás arrastar. Joelhos empurrando para fora e quadril na mesma altura."
Bicicleta lenta,core,variant,Toques de talón (pingüinos),,,Slow Bicycle Crunch,Bicicleta lenta,"Boca arriba, omóplatos despegados. Codo hacia la rodilla contraria mientras la otra pierna se extiende sin tocar el piso. Lento, con rotación real del tronco, no un vaivén de codo.","On your back, shoulder blades off the floor. Elbow toward the opposite knee as the other leg extends without touching down. Slow, with real trunk rotation, not just an elbow swing.","De barriga para cima, omoplatas descoladas. Cotovelo em direção ao joelho contrário enquanto a outra perna estende sem tocar o chão. Devagar, com rotação de verdade do tronco, não um vai-e-vem de cotovelo."
Elevación de talones excéntrica,recuperacion,main,,Sin equipo,60s,Eccentric Calf Raise,Elevação de panturrilha excêntrica,Sube a puntas con las dos piernas y baja con una sola en tres segundos. La bajada es el ejercicio. Alterna la pierna que baja. No rebotes abajo.,Rise onto the toes with both legs and lower on one in three seconds. The lowering is the exercise. Alternate which leg lowers. Don't bounce at the bottom.,Suba nas pontas com as duas pernas e desça com uma só em três segundos. A descida é o exercício. Alterne a perna que desce. Não quique embaixo.
Prensa a una pierna,rodillas,main,,Prensa,3×10 por pierna,Single-Leg Leg Press,Leg press unilateral,"Un pie en la plataforma, alto y levemente hacia afuera, para cargar glúteo y vasto interno. Controla la bajada; no rebotes abajo. La rodilla viaja en la línea del segundo dedo.","One foot on the platform, high and slightly turned out, so glute and VMO take the load. Control the lower; don't bounce at the bottom. Knee tracks over the second toe.","Um pé na plataforma, alto e levemente para fora, para carregar glúteo e vasto medial. Controle a descida; não quique embaixo. O joelho viaja na linha do segundo dedo."
Skip A lento,activacion,main,,Sin equipo,,Slow A-Skip,Skip A lento,"Rodilla a la altura de la cadera, pie de apoyo firme, brazos de carrera. Postura alta y contacto corto. Es técnica, no cardio: si te desarmas, achica el ritmo.","Knee to hip height, stance foot firm, running arms. Tall posture, short contact. This is technique, not cardio: if the shape falls apart, slow down.","Joelho na altura do quadril, pé de apoio firme, braços de corrida. Postura alta e contato curto. É técnica, não cardio: se desmontar, diminua o ritmo."
Elevación lateral con banda,activacion,main,,Minibanda,,Banded Side Leg Raise,Elevação lateral com faixa,"De pie, banda en los tobillos. Sube la pierna al lateral con el pie apuntando levemente hacia abajo. El tronco se queda vertical: si se inclina, baja el rango.","Stand, band at the ankles. Lift the leg to the side with the toes slightly down. Torso stays vertical: if it leans, shrink the range.","Em pé, faixa nos tornozelos. Suba a perna para o lado com o pé apontando um pouco para baixo. O tronco fica vertical: se inclinar, diminua a amplitude."
"Bajada excéntrica, rodilla flexionada",aquiles,main,,Piso plano,3×15 por lado,Bent-Knee Eccentric Calf Lower (Floor),Descida excêntrica com joelho flexionado (chão),"En piso plano, rodilla flexionada unos 30°. Sube a puntas con las dos y baja con una en tres segundos hasta que el talón toque el piso, no más abajo. La rodilla doblada lleva la carga al sóleo.","On flat ground, knee bent about 30°. Rise on both feet, lower on one in three seconds until the heel kisses the floor — no lower. The bent knee puts the load on the soleus.","No chão plano, joelho flexionado uns 30°. Suba nas pontas com as duas e desça com uma em três segundos até o calcanhar tocar o chão, sem ir além. O joelho dobrado leva a carga para o sóleo."
Círculos de cadera,activacion,main,,Sin equipo,,Standing Hip Circles,Círculos de quadril,"De pie en una pierna, rodilla levantada. Dibuja círculos amplios hacia adelante y hacia atrás. El tronco no se mueve: solo la cadera. Si te balanceas, acércate a una pared.","Stand on one leg, knee lifted. Draw large circles forward and back. The torso doesn't move — only the hip. If you wobble, stand near a wall.","Em pé numa perna, joelho levantado. Desenhe círculos amplos para frente e para trás. O tronco não se mexe: só o quadril. Se balançar, aproxime-se de uma parede."
Sentadilla a de pie con banda,activacion,main,,Minibanda,,Banded Squat-to-Stand,Agachamento ao chão com faixa,"Banda por encima de las rodillas. Agárrate las puntas de los pies, hunde la cadera y sube el pecho sin soltar. Después estira las piernas. Rodillas empujando hacia afuera todo el tiempo.","Band above the knees. Grab your toes, drop the hips and lift the chest without letting go. Then straighten the legs. Knees press out the whole time.","Faixa acima dos joelhos. Segure as pontas dos pés, afunde o quadril e suba o peito sem soltar. Depois estenda as pernas. Joelhos empurrando para fora o tempo todo."
Rotación externa con minibanda,recuperacion,variant,Rotación externa isométrica,Minibanda,,Banded External Rotation,Rotação externa com miniband,"Banda anclada a la altura del codo, codo pegado a las costillas. Rota el antebrazo hacia afuera y vuelve más lento de lo que fuiste. Rango corto y controlado.","Band anchored at elbow height, elbow pinned to the ribs. Rotate the forearm out and return slower than you went. Short, controlled range.","Faixa ancorada na altura do cotovelo, cotovelo colado nas costelas. Gire o antebraço para fora e volte mais lento do que foi. Amplitude curta e controlada."
Psoas de rodillas,activacion,main,,Sin equipo,45s,Half-Kneeling Hip Flexor Stretch,Psoas ajoelhado,"Media rodilla, pie de adelante plano. Mete la pelvis antes de avanzar la cadera. Sin eso estás estirando la lumbar, no el psoas. Aprieta el glúteo de atrás.","Half-kneeling, front foot flat. Tuck the pelvis before you shift the hip forward. Skip that and you're stretching the low back, not the psoas. Squeeze the rear glute.","Meio ajoelhado, pé da frente apoiado. Encaixe a pelve antes de avançar o quadril. Sem isso você alonga a lombar, não o psoas. Aperte o glúteo de trás."
Postura de la paloma,rodillas,main,,Sin equipo,1×2 min por lado,Pigeon Pose,Postura do pombo,"Pierna de adelante flexionada cruzada bajo el cuerpo, la de atrás estirada y alineada, no abierta al costado. Inclínate desde la cadera y respira. No forcejees. Si la rodilla molesta, eleva la cadera con una almohada.","Front shin across, back leg long and in line — not kicked out to the side. Hinge from the hip and breathe. Don't wrestle it. If the knee complains, pad the hip.","Perna da frente flexionada cruzada sob o corpo, a de trás esticada e alinhada, não aberta para o lado. Incline a partir do quadril e respire. Não force. Se o joelho incomodar, eleve o quadril com uma almofada."
"Estiramiento en pared, rodilla flexionada",aquiles,main,,Pared,1×2 min por lado,Wall Calf Stretch (Bent Knee),Alongamento na parede com joelho flexionado,"Manos en la pared, pierna de atrás atrás, talón clavado. Flexiona levemente esa rodilla sin despegar el talón. El estiramiento baja hacia el sóleo, cerca del tendón. Tronco erguido.","Hands on the wall, back leg behind you, heel pinned. Soften that knee without lifting the heel. The stretch drops into the soleus, closer to the tendon. Torso upright.","Mãos na parede, perna de trás atrás, calcanhar cravado. Flexione de leve esse joelho sem descolar o calcanhar. O alongamento desce para o sóleo, perto do tendão. Tronco ereto."
Skipping bajo,aquiles,main,,Sin equipo,3×30s,Low Skipping,Skipping baixo,"Skipping suave en el lugar o avanzando. Rebote rápido, apoyo de metatarso, sin machacar el talón. Si el tendón habla, se corta el bloque.","Easy skip in place or traveling. Quick bounce, forefoot contact, no slamming the heel. If the tendon speaks up, the block is over.","Skipping leve no lugar ou avançando. Quique rápido, apoio no antepé, sem bater o calcanhar. Se o tendão reclamar, o bloco acaba."
Dead bug con banda,activacion,main,,Minibanda,,Banded Dead Bug,Dead bug com faixa,"Boca arriba, banda por encima de las rodillas, presión hacia afuera constante. Extiende brazo y pierna contrarios sin que la banda gane y sin despegar la lumbar. Exhala al extender.","On your back, band above the knees, constant outward press. Extend opposite arm and leg without letting the band win or the low back peel up. Exhale as you reach.","De barriga para cima, faixa acima dos joelhos, pressão para fora constante. Estenda braço e perna opostos sem deixar a faixa ganhar e sem descolar a lombar. Expire ao estender."
Dead bug isométrico,core,variant,Dead bug,,,Isometric Dead Bug,Dead bug isométrico,"Boca arriba, brazos y rodillas a 90°. Empuja las manos contra las rodillas y sostén la tensión respirando normal. La lumbar no se despega.","On your back, arms and knees at 90°. Press hands into knees and hold the tension while you breathe normally. Low back stays down.","De barriga para cima, braços e joelhos a 90°. Empurre as mãos contra os joelhos e sustente a tensão respirando normal. A lombar não descola."
Fascia plantar con pelota,movilidad,variant,Arco y dedos del pie,Pelota,,Plantar Fascia Ball Roll,Fáscia plantar com bolinha,"De pie o sentado, rueda la planta sobre la pelota del talón a los dedos, lento. Cuando un punto se queje, párate ahí. Presión que puedas sostener respirando normal.","Standing or sitting, roll the sole over a ball from heel to toes, slowly. When a spot complains, park there. Pressure you can hold while breathing normally.","Em pé ou sentado, role a planta sobre a bolinha do calcanhar aos dedos, devagar. Quando um ponto reclamar, pare nele. Pressão que você consiga sustentar respirando normal."
Empeine y tibial con rodillo,movilidad,variant,Tobillos y empeine,Rodillo,,Shin and Instep Foam Roll,Peito do pé e tibial no foam roller,"En cuadrupedia, el rodillo sobre la parte de adelante de la tibia. Rueda despacio de la rodilla al tobillo. Zona sensible: menos presión de la que crees.","On all fours, roller on the front of the shin. Roll slowly from knee to ankle. Sensitive area: less pressure than you think.","Em quatro apoios, o rolo na frente da canela. Role devagar do joelho ao tornozelo. Zona sensível: menos pressão do que você imagina."
Marcha con rodilla alta y banda,activacion,main,,Minibanda,,Banded High-Knee March,Marcha com joelho alto e faixa,"Banda en los tobillos. Marcha con rodilla alta, tronco erguido. Despacio en la bajada: la banda quiere devolverte el pie al piso y ahí es donde se pierde el control.","Band at the ankles. High-knee march, torso tall. Slow on the way down: the band wants to snap the foot back to the floor, and that's where control is lost.","Faixa nos tornozelos. Marcha com joelho alto, tronco ereto. Devagar na descida: a faixa quer devolver o pé ao chão e é aí que se perde o controle."
Puente de glúteos con banda,activacion,main,,Minibanda,,Banded Glute Bridge,Ponte de glúteos com faixa,"Pies cerca de los glúteos, banda por encima de las rodillas. Sube empujando con los talones y abre las rodillas contra la banda todo el tiempo. Sostén un segundo arriba. Si las rodillas se juntan, el glúteo medio se apagó.","Feet close to the glutes, band above the knees. Drive through the heels and press the knees out against the band the whole time. Pause a second at the top. If the knees cave, glute med checked out.","Pés perto dos glúteos, faixa acima dos joelhos. Suba empurrando pelos calcanhares e abra os joelhos contra a faixa o tempo todo. Segure um segundo no alto. Se os joelhos se juntarem, o glúteo médio apagou."
Abducción de cadera en polea,rodillas,main,,Polea baja,3×12-15 por lado,Cable Hip Abduction,Abdução de quadril na polia,"Tobillera en la polea baja, de costado a la máquina. Barre la pierna hacia afuera. El tronco se queda quieto: si te inclinas al otro lado, baja el peso.","Ankle strap on the low cable, side-on to the stack. Sweep the leg out. Torso stays still: if you lean the other way, drop the weight.","Tornozeleira na polia baixa, de lado para a máquina. Varra a perna para fora. O tronco fica quieto: se inclinar para o outro lado, diminua o peso."
Rodilla al pecho,activacion,main,,Sin equipo,30s,Knee to Chest,Joelho ao peito,"Boca arriba, trae una rodilla al pecho con la otra pierna extendida en el piso. Si la pierna de abajo se despega, afloja el rango. No tires del cuello.","On your back, draw one knee to the chest, other leg long on the floor. If the bottom leg lifts, ease the range. Don't pull on the neck.","De barriga para cima, traga um joelho ao peito com a outra perna estendida no chão. Se a perna de baixo descolar, solte a amplitude. Não puxe o pescoço."
Elevación lateral de pierna,activacion,main,,Sin equipo,,Side Leg Raise,Elevação lateral de perna,"De pie o de costado, sube la pierna al lateral con el pie apuntando levemente hacia abajo. Rango medio, sin impulso. Si el tronco se inclina, bajaste el rango.","Standing or side-lying, lift the leg to the side with the toes slightly down. Mid-range, no swing. If the torso leans, you went too far.","Em pé ou de lado, suba a perna para o lado com o pé apontando um pouco para baixo. Amplitude média, sem impulso. Se o tronco inclinar, você passou do ponto."
Y-T-W con banda,recuperacion,variant,Y-T-W boca abajo,Banda larga,,Banded Y-T-W,Y-T-W com faixa,"De pie, banda al frente. Misma secuencia Y, T y W contra resistencia baja. Muchas repeticiones, poca tensión. Escápulas abajo, nunca hacia las orejas.","Stand, band in front. Same Y, T and W pattern against light resistance. High reps, low tension. Blades down, never toward the ears.","Em pé, faixa à frente. Mesma sequência Y, T e W contra resistência baixa. Muitas repetições, pouca tensão. Omoplatas para baixo, nunca em direção às orelhas."
Zancada atrás con rodilla arriba,rodillas,main,,Sin equipo,3×12 por pierna,Reverse Lunge to Knee Drive,Passada para trás com joelho alto,"Paso atrás a la zancada y, sin pausa, sube esa rodilla al pecho en un solo movimiento. La mitad del ejercicio es no tambalearte al subir. Rodilla de adelante en la línea del segundo dedo.","Step back into a lunge and, without pausing, drive that knee to the chest in one move. Half the exercise is not wobbling on the way up. Front knee tracks the second toe.","Passo atrás na passada e, sem pausa, suba esse joelho ao peito num movimento só. Metade do exercício é não balançar na subida. Joelho da frente na linha do segundo dedo."
Elevación de talón en prensa,aquiles,main,,Prensa · rango limitado,4×8-10,Leg-Press Calf Raise (Limited Range),Panturrilha no leg press (amplitude limitada),"En la prensa, tempo lento, sin dejar que el talón baje más allá de la línea del apoyo. En la inserción, el rango de más no es más estímulo: es compresión.","On the leg press, slow tempo, don't let the heel drop past the line of the platform. At the insertion, extra range isn't extra stimulus — it's compression.","No leg press, ritmo lento, sem deixar o calcanhar descer além da linha do apoio. Na inserção, amplitude a mais não é estímulo a mais: é compressão."
Peso muerto rumano,rodillas,main,,Barra o mancuernas,3×10-12,Romanian Deadlift,Levantamento terra romeno,"Barra o mancuernas. Bisagra de cadera, no sentadilla: los glúteos van hacia atrás y las rodillas casi no se mueven. Espalda larga.","Barbell or dumbbells. Hip hinge, not a squat: hips go back, knees barely move. Long spine.","Barra ou halteres. Dobradiça de quadril, não agachamento: os glúteos vão para trás e os joelhos quase não se mexem. Costas longas."
Elevación de talón en prensa,aquiles,main,,Prensa,4×8-10,Leg-Press Calf Raise,Panturrilha no leg press,"Piernas casi estiradas, sin bloquear la rodilla hacia atrás, empujando con el metatarso. Tempo lento. Con la rodilla extendida el protagonista es el gemelo.","Legs almost straight, don't lock the knees back, drive through the forefoot. Slow tempo. With the knee extended, the calf is the main actor.","Pernas quase esticadas, sem travar o joelho para trás, empurrando com o antepé. Ritmo lento. Com o joelho estendido o protagonista é a panturrilha."
Caminata de oso,recuperacion,main,,Sin equipo,60s,Bear Crawl,Caminhada do urso,"Cuadrupedia con las rodillas a un palmo del piso. Avanza y retrocede moviendo mano y pie contrarios, cadera baja, sin balancearte de lado a lado. Pasos cortos.","All fours, knees a hand-span off the floor. Forward and back, opposite hand and foot, hips low, no side-to-side sway. Short steps.","Quatro apoios com os joelhos a um palmo do chão. Avance e recue movendo mão e pé opostos, quadril baixo, sem balançar de lado a lado. Passos curtos."
Glúteo con pelota,movilidad,variant,Figura 4 boca arriba,Pelota,,Glute Ball Release,Glúteo com bolinha,"Sentado sobre la pelota, busca el punto del glúteo que se queja y quédate quieto ahí respirando, no ruedes. Cruza el tobillo sobre la rodilla para llegar más profundo.","Sit on the ball, find the glute spot that complains and stay there breathing — don't roll around. Cross the ankle over the knee to go deeper.","Sentado sobre a bolinha, ache o ponto do glúteo que reclama e fique parado ali respirando, sem rolar. Cruze o tornozelo sobre o joelho para chegar mais fundo."
Arrugar la toalla,aquiles,main,,Toalla,3×20 por lado,Towel Scrunches,Enrugar a toalha,"Sentado y descalzo, toalla en el piso. Arrúgala hacia ti solo con los dedos. Un pie fuerte se queda con parte del despegue en vez de mandárselo entero al tendón.","Sit barefoot, towel on the floor. Scrunch it toward you with the toes only. A strong foot keeps some of the push-off instead of handing it all to the tendon.","Sentado e descalço, toalha no chão. Enrugue-a na sua direção só com os dedos. Um pé forte fica com parte da impulsão em vez de mandar tudo para o tendão."
Sentadilla búlgara,rodillas,main,,Silla o sillón,3×8-12 por pierna,Bulgarian Split Squat,Agachamento búlgaro,"Pie de atrás sobre una silla, pecho arriba. La rodilla de adelante viaja sobre el segundo dedo, nunca hacia adentro. Si se mete, acorta el rango antes que la técnica.","Back foot on a chair, chest tall. Front knee tracks the second toe, never inward. If it caves, shorten the range before you shorten the standard.","Pé de trás sobre uma cadeira, peito alto. O joelho da frente viaja sobre o segundo dedo, nunca para dentro. Se entrar, encurte a amplitude antes da técnica."
